PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaysonTatum,34,9,6,12,5,13,7,10,4,39,44.4,50.0,1,8,6,2,0,2,3,26,BostonCeltics
JaylenBrown,21,7,7,12,2,7,1,2,3,36,50.0,100.0,1,6,2,1,0,4,5,19,BostonCeltics
DerrickWhite,15,4,5,7,0,6,5,5,11,37,66.7,0,2,2,3,3,0,5,29,22,BostonCeltics
SamHauser,12,4,0,0,4,9,0,0,2,32,42.9,0,2,2,0,0,0,2,11,13,BostonCeltics
DalanoBanton,8,5,3,4,0,1,2,2,1,19,15.4,100.0,2,3,1,0,0,4,-4,11,BostonCeltics
NeemiasQueta,7,10,3,8,0,0,1,1,0,15,100.0,0,6,4,0,1,0,0,5,13,BostonCeltics
AlHorford,6,15,3,3,0,5,0,0,3,32,20.0,33.3,3,12,0,1,2,1,17,22,BostonCeltics
PaytonPritchard,6,2,0,0,2,6,0,0,0,20,33.3,0,0,2,0,0,0,0,-10,4,BostonCeltics
LukeKornet,4,2,2,2,0,0,0,0,0,9,0.0,0,1,1,0,1,1,1,-6,8,BostonCeltics
BostonCeltics,113,60,29,48,13,47,16,20,24,240,40.9,0,20,40,13,9,3,19,50,138,BostonCeltics
TraeYoung,33,5,6,11,6,16,3,6,7,37,44.4,50.0,1,4,5,0,0,3,-11,22,AtlantaHawks
De&#039;AndreHunter,24,4,2,3,5,11,5,5,2,40,50.0,100.0,0,4,2,1,1,4,-11,23,AtlantaHawks
BogdanBogdanovic,23,7,1,2,7,10,0,0,0,32,66.7,0,1,6,4,1,0,3,-1,23,AtlantaHawks
SaddiqBey,7,8,2,2,1,5,0,0,1,29,42.9,0,3,5,0,0,0,3,-16,12,AtlantaHawks
DejounteMurray,6,4,2,7,0,6,2,2,3,34,15.4,100.0,2,2,3,0,0,1,-7,-1,AtlantaHawks
OnyekaOkongwu,4,3,2,2,0,0,0,0,0,27,100.0,0,0,3,0,2,1,2,-2,10,AtlantaHawks
ClintCapela,4,8,1,5,0,0,2,6,1,21,20.0,33.3,4,4,1,1,2,0,-8,7,AtlantaHawks
WesleyMatthews,2,0,1,1,0,2,0,0,0,8,33.3,0,0,0,0,0,0,1,-1,0,AtlantaHawks
AJGriffin,0,4,0,2,0,3,0,0,1,12,0.0,0,0,4,0,0,0,0,7,0,AtlantaHawks
AtlantaHawks,103,46,17,35,19,53,12,19,15,240,40.9,0,14,32,17,5,4,17,-50,96,AtlantaHawks
