PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TobiasHarris,33,8,7,14,5,9,4,4,7,38,62.5,91.7,0,8,2,1,0,2,8,36,Philadelphia76ers
TyreseMaxey,33,4,9,12,4,10,3,3,10,41,60.0,50.0,0,4,3,0,0,3,17,35,Philadelphia76ers
JoelEmbiid,31,10,9,19,2,2,7,8,9,35,54.5,0,1,9,6,2,4,1,2,39,Philadelphia76ers
KellyOubre,8,3,1,3,2,6,0,0,0,26,27.3,100.0,0,3,0,1,0,4,-3,6,Philadelphia76ers
MarcusMorris,7,4,1,1,1,2,2,2,5,31,44.4,100.0,1,3,0,0,0,3,4,15,Philadelphia76ers
PaulReed,4,4,1,1,0,1,2,2,0,13,25.0,100.0,1,3,0,1,1,2,8,9,Philadelphia76ers
DanuelHouse,3,1,1,1,0,0,1,2,1,23,33.3,100.0,0,1,2,0,0,2,15,2,Philadelphia76ers
FurkanKorkmaz,2,1,1,1,0,0,0,0,0,7,22.2,0.0,0,1,0,0,0,0,-7,3,Philadelphia76ers
RobertCovington,0,3,0,0,0,1,0,0,2,24,100.0,0,0,3,0,1,1,4,15,6,Philadelphia76ers
JavonteSmart,0,0,0,0,0,0,0,0,0,1,25.0,0,0,0,0,0,0,0,-3,0,Philadelphia76ers
KenyonMartin,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,Philadelphia76ers
JadenSpringer,0,0,0,0,0,0,0,0,0,1,44.8,0,0,0,0,0,0,0,-3,0,Philadelphia76ers
Philadelphia76ers,121,42,30,52,14,31,19,21,34,240,53.0,0,4,38,13,6,6,21,50,151,Philadelphia76ers
PascalSiakam,31,5,10,12,0,4,11,12,5,36,62.5,91.7,1,4,2,0,1,1,-4,33,TorontoRaptors
JakobPoeltl,19,8,9,15,0,0,1,2,2,29,60.0,50.0,2,6,1,1,0,3,-14,22,TorontoRaptors
GaryTrentJr.,17,4,1,3,5,8,0,0,1,26,54.5,0,1,3,0,1,0,3,-10,18,TorontoRaptors
ScottieBarnes,12,7,1,4,2,7,4,4,8,35,27.3,100.0,1,6,3,1,4,0,-1,21,TorontoRaptors
OguguaAnunoby,12,4,4,5,0,4,4,4,5,35,44.4,100.0,0,4,2,1,0,4,-11,15,TorontoRaptors
DennisSchroder,6,3,2,6,0,2,2,2,6,34,25.0,100.0,1,2,0,2,0,0,-16,11,TorontoRaptors
OttoPorter,5,3,0,0,1,3,2,2,0,15,33.3,100.0,0,3,0,0,0,3,-10,6,TorontoRaptors
PreciousAchiuwa,4,6,2,7,0,2,0,2,1,16,22.2,0.0,3,3,1,2,0,2,-1,3,TorontoRaptors
JalenMcDaniels,3,2,0,0,1,1,0,0,0,2,100.0,0,0,2,0,0,0,0,3,5,TorontoRaptors
MalachiFlynn,2,4,1,2,0,2,0,0,2,10,25.0,0,2,2,3,0,1,0,9,3,TorontoRaptors
GradeyDick,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,1,TorontoRaptors
TorontoRaptors,111,51,30,54,9,33,24,28,30,240,44.8,0,15,36,12,9,6,16,-50,138,TorontoRaptors
