PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TylerHerro,24,10,5,10,4,7,2,2,9,37,42.1,100.0,0,10,3,2,0,3,7,34,MiamiHeat
JimmyButler,20,7,6,9,1,2,5,6,2,31,57.1,0.0,0,7,2,3,0,1,6,25,MiamiHeat
DuncanRobinson,18,1,3,3,4,8,0,0,6,30,75.0,50.0,0,1,2,1,0,0,2,20,MiamiHeat
BamAdebayo,18,4,8,15,0,0,2,2,3,30,100.0,0,0,4,4,0,0,3,6,14,MiamiHeat
ThomasBryant,11,4,5,7,0,0,1,2,0,18,80.0,0.0,2,2,2,0,1,4,1,11,MiamiHeat
JoshRichardson,10,3,3,4,1,2,1,1,5,26,60.0,0,0,3,2,0,0,2,-2,14,MiamiHeat
JaimeJaquez,9,5,4,4,0,1,1,1,3,22,50.0,66.7,3,2,0,1,0,1,3,17,MiamiHeat
HaywoodHighsmith,8,0,1,1,2,3,0,0,0,22,60.0,0.0,0,0,2,0,0,3,10,5,MiamiHeat
KyleLowry,3,3,0,0,1,4,0,0,7,26,66.7,100.0,2,1,2,2,0,1,2,10,MiamiHeat
MiamiHeat,121,39,35,53,13,27,12,14,35,240,40.0,0,8,31,19,9,1,18,35,150,MiamiHeat
KyleKuzma,22,4,4,10,4,9,2,2,3,31,42.1,100.0,1,3,5,0,0,3,-20,13,WashingtonWizards
JordanPoole,19,1,5,10,3,4,0,1,6,28,57.1,0.0,0,1,2,4,0,3,-21,21,WashingtonWizards
DeniAvdija,14,4,5,6,1,2,1,2,3,24,75.0,50.0,0,4,2,0,0,1,-14,16,WashingtonWizards
JonathanDavis,11,1,4,4,1,1,0,0,0,13,100.0,0,0,1,0,1,0,0,19,13,WashingtonWizards
BilalCoulibaly,9,3,3,3,1,2,0,2,3,26,80.0,0.0,0,3,1,0,0,1,13,11,WashingtonWizards
TyusJones,7,2,2,3,1,2,0,0,5,24,60.0,0,0,2,2,0,0,1,-14,10,WashingtonWizards
RyanRollins,7,1,1,3,1,1,2,3,2,7,50.0,66.7,0,1,0,0,1,1,15,8,WashingtonWizards
DaniloGallinari,6,3,3,4,0,1,0,2,3,9,60.0,0.0,1,2,1,0,0,0,-4,7,WashingtonWizards
AnthonyGill,6,2,2,3,0,0,2,2,0,7,66.7,100.0,1,1,1,0,1,1,18,7,WashingtonWizards
MikeMuscala,5,1,1,1,1,4,0,0,1,12,40.0,0,0,1,1,0,0,1,-11,3,WashingtonWizards
DanielGafford,4,5,1,1,0,0,2,3,1,20,100.0,66.7,1,4,2,0,2,5,-10,9,WashingtonWizards
EugeneOmoruyi,4,0,2,2,0,0,0,0,2,7,100.0,0,0,0,1,1,0,1,18,6,WashingtonWizards
LandryShamet,0,1,0,0,0,2,0,0,2,14,0.0,0,0,1,0,0,0,0,-13,1,WashingtonWizards
DelonWright,0,2,0,3,0,0,0,0,2,17,0.0,0,0,2,2,1,0,0,-11,0,WashingtonWizards
WashingtonWizards,114,35,33,53,13,28,9,17,33,240,56.8,0,5,30,20,7,4,18,-35,125,WashingtonWizards
