PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaysonTatum,30,7,8,10,4,9,2,3,7,39,64.7,0,0,7,2,1,2,2,-4,37,BostonCeltics
JaylenBrown,25,6,9,12,0,3,7,8,2,36,56.3,100.0,2,4,0,2,0,0,-6,28,BostonCeltics
DerrickWhite,24,2,4,9,4,7,4,4,5,35,38.9,25.0,0,2,0,1,1,2,-4,25,BostonCeltics
JrueHoliday,17,5,3,5,3,3,2,2,4,39,46.2,100.0,0,5,1,1,3,0,2,27,BostonCeltics
KristapsPorzingis,17,12,4,11,2,6,3,4,2,31,31.3,100.0,4,8,4,0,1,5,-7,16,BostonCeltics
SamHauser,9,2,0,0,3,5,0,0,1,23,55.6,0,0,2,2,1,0,3,14,9,BostonCeltics
NeemiasQueta,4,1,2,3,0,0,0,1,1,14,45.5,0,0,1,1,0,2,1,15,5,BostonCeltics
PaytonPritchard,3,4,0,1,1,3,0,0,3,17,33.3,100.0,1,3,0,0,0,2,12,7,BostonCeltics
OshaeBrissett,0,1,0,0,0,0,0,0,0,6,0.0,0,0,1,0,0,0,1,3,1,BostonCeltics
BostonCeltics,129,40,30,51,17,36,18,22,25,240,46.3,0,7,33,10,6,9,16,25,155,BostonCeltics
AaronNesmith,26,12,7,10,4,7,0,0,7,41,64.7,0,3,9,0,0,1,3,-3,40,IndianaPacers
PascalSiakam,23,6,8,15,1,1,4,4,2,32,56.3,100.0,4,2,0,0,0,4,9,24,IndianaPacers
MylesTurner,17,5,5,11,2,7,1,4,1,26,38.9,25.0,1,4,3,0,1,4,7,7,IndianaPacers
AndrewNembhard,15,4,5,8,1,5,2,2,5,28,46.2,100.0,1,3,0,0,0,2,-3,17,IndianaPacers
TyreseHaliburton,13,3,4,11,1,5,2,2,10,22,31.3,100.0,3,0,1,1,0,1,-4,15,IndianaPacers
BuddyHield,12,6,3,4,2,5,0,0,4,36,55.6,0,2,4,1,3,0,2,7,20,IndianaPacers
ObiToppin,11,8,4,7,1,4,0,0,2,22,45.5,0,3,5,2,0,0,1,-10,13,IndianaPacers
JalenSmith,7,4,2,3,0,3,3,3,2,21,33.3,100.0,2,2,0,0,0,2,-17,9,IndianaPacers
BenSheppard,0,2,0,0,0,2,0,0,0,12,0.0,0,0,2,0,0,0,2,-11,0,IndianaPacers
IndianaPacers,124,50,38,69,12,39,12,15,33,240,46.3,0,19,31,7,4,2,21,-25,145,IndianaPacers
