PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ScottieBarnes,23,7,6,12,1,3,8,8,4,38,36.7,100.0,2,5,0,0,3,4,14,29,TorontoRaptors
PascalSiakam,22,9,8,16,1,5,3,3,3,36,66.7,100.0,3,6,3,1,0,4,9,20,TorontoRaptors
JakobPoeltl,17,4,8,9,0,0,1,2,1,30,50.0,100.0,2,2,2,0,1,4,1,19,TorontoRaptors
PreciousAchiuwa,14,10,4,9,1,1,3,4,1,18,44.4,0,6,4,1,2,0,2,6,20,TorontoRaptors
OguguaAnunoby,13,3,2,5,3,5,0,1,1,34,50.0,0,0,3,0,3,1,3,1,15,TorontoRaptors
GaryTrentJr.,13,5,2,6,3,7,0,0,2,25,60.0,100.0,0,5,0,0,0,1,0,12,TorontoRaptors
DennisSchroder,8,6,2,9,1,2,1,1,12,34,16.7,100.0,1,5,0,1,0,2,-2,19,TorontoRaptors
MalachiFlynn,2,5,0,0,0,3,2,2,1,14,66.7,0,1,4,1,0,0,0,9,4,TorontoRaptors
ChrisBoucher,0,0,0,0,0,0,0,0,0,3,33.3,0,0,0,0,0,0,0,0,0,TorontoRaptors
JalenMcDaniels,0,0,0,0,0,1,0,0,0,9,0.0,50.0,0,0,2,0,0,2,-3,-3,TorontoRaptors
TorontoRaptors,112,53,32,66,10,27,18,21,25,240,40.4,0,16,37,9,7,5,22,35,135,TorontoRaptors
KevinDurant,30,4,9,22,2,8,6,6,6,36,36.7,100.0,0,4,1,1,0,1,-1,21,PhoenixSuns
JusufNurkic,19,14,7,11,1,1,2,2,6,30,66.7,100.0,1,13,2,0,2,3,2,35,PhoenixSuns
JoshOkogie,10,7,2,4,0,0,6,6,2,24,50.0,100.0,4,3,0,0,0,1,1,17,PhoenixSuns
EricGordon,10,1,2,4,2,5,0,0,1,34,44.4,0,0,1,0,1,0,2,-9,8,PhoenixSuns
JordanGoodwin,9,6,3,5,1,3,0,0,4,23,50.0,0,3,3,2,0,0,2,3,13,PhoenixSuns
KeitaBates-Diop,9,3,3,4,0,1,3,3,0,13,60.0,100.0,2,1,0,0,0,0,-7,10,PhoenixSuns
DevinBooker,8,5,2,8,0,4,4,4,5,33,16.7,100.0,0,5,2,0,0,3,-15,6,PhoenixSuns
ChimezieMetu,5,2,1,2,1,1,0,0,0,15,66.7,0,0,2,1,0,0,3,-4,5,PhoenixSuns
DrewEubanks,4,4,2,6,0,0,0,0,1,18,33.3,0,1,3,0,0,1,0,-9,6,PhoenixSuns
YutaWatanabe,1,1,0,2,0,3,1,2,0,16,0.0,50.0,1,0,1,1,2,0,4,-2,PhoenixSuns
PhoenixSuns,105,52,31,68,7,26,22,23,25,240,40.4,0,14,38,10,3,5,15,-35,119,PhoenixSuns
