PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LukaDoncic,33,18,10,22,2,8,7,11,13,40,40.0,63.6,5,13,3,2,0,5,-13,41,DallasMavericks
KyrieIrving,23,6,6,13,3,7,2,2,3,36,45.0,100.0,0,6,1,2,0,3,0,22,DallasMavericks
TimHardawayJr.,20,2,4,6,4,7,0,0,1,32,61.5,0.0,0,2,0,0,0,2,-3,18,DallasMavericks
JoshGreen,14,7,1,4,4,7,0,0,1,38,45.5,0.0,1,6,3,0,0,4,-9,13,DallasMavericks
MaximilianKleber,7,2,3,4,0,3,1,1,0,26,42.9,100.0,0,2,1,0,2,2,-1,6,DallasMavericks
DereckLively,6,8,3,3,0,0,0,0,1,25,100.0,0.0,4,4,1,0,2,2,-7,16,DallasMavericks
DerrickJones,5,2,1,4,1,3,0,0,3,25,28.6,0.0,0,2,1,0,0,1,-6,4,DallasMavericks
GrantWilliams,2,3,1,1,0,4,0,0,2,18,20.0,0.0,0,3,0,0,0,1,-3,3,DallasMavericks
JadenHardy,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-3,-1,DallasMavericks
DallasMavericks,110,48,29,57,14,40,10,14,24,240,44.3,0.0,10,38,10,4,4,20,-45,122,DallasMavericks
JaysonTatum,39,11,9,13,2,8,15,19,5,41,52.4,78.9,0,11,0,3,2,4,27,46,BostonCeltics
JaylenBrown,34,3,11,15,2,7,6,9,4,37,59.1,66.7,1,2,0,0,2,5,-6,31,BostonCeltics
JrueHoliday,17,7,1,1,5,12,0,0,6,38,46.2,0.0,0,7,1,0,1,2,19,23,BostonCeltics
AlHorford,11,6,1,1,3,6,0,0,3,31,57.1,0.0,1,5,1,1,0,2,8,17,BostonCeltics
DerrickWhite,6,4,1,5,1,7,1,2,1,34,16.7,50.0,0,4,1,2,1,3,-11,2,BostonCeltics
PaytonPritchard,5,7,1,3,1,4,0,0,6,25,28.6,0.0,1,6,1,1,1,1,16,14,BostonCeltics
SamHauser,5,1,1,1,1,2,0,0,0,15,66.7,0.0,1,0,0,0,0,1,-4,5,BostonCeltics
LukeKornet,2,5,1,3,0,0,0,0,1,19,33.3,0.0,1,4,2,0,1,2,-4,5,BostonCeltics
BostonCeltics,119,44,26,42,15,46,22,30,26,240,46.6,0.0,5,39,6,7,8,20,45,143,BostonCeltics
