PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GeorgesNiang,33,5,8,8,5,6,2,3,2,27,35.0,66.7,0,5,1,0,0,2,0,37,ClevelandCavaliers
DonovanMitchell,31,5,8,11,4,8,3,4,7,26,54.5,75.0,1,4,1,3,0,1,37,37,ClevelandCavaliers
JarrettAllen,21,13,9,15,0,0,3,3,3,26,38.5,50.0,3,10,1,0,1,0,37,31,ClevelandCavaliers
IsaacOkoro,10,3,5,7,0,0,0,1,7,26,55.6,100.0,1,2,0,1,1,2,37,19,ClevelandCavaliers
SamMerrill,10,5,2,2,2,6,0,0,5,22,71.4,0,3,2,0,0,0,1,3,16,ClevelandCavaliers
CraigPorter,9,2,4,7,0,0,1,2,2,20,75.0,0,0,2,1,0,0,0,6,8,ClevelandCavaliers
TristanThompson,6,9,3,4,0,0,0,0,3,20,75.0,0,2,7,2,0,0,0,10,15,ClevelandCavaliers
MaxStrus,6,6,2,3,0,1,2,2,3,22,20.0,0,0,6,0,0,1,1,33,14,ClevelandCavaliers
DeanWade,5,3,1,1,1,4,0,1,0,21,16.7,0,0,3,2,1,0,0,40,3,ClevelandCavaliers
CarisLeVert,4,3,1,5,0,2,2,3,4,22,50.0,0,1,2,2,0,0,1,2,2,ClevelandCavaliers
DamianJones,0,1,0,2,0,1,0,0,0,10,10.0,0,0,1,0,0,0,1,-5,-2,ClevelandCavaliers
ClevelandCavaliers,135,55,43,65,12,28,13,19,36,240,0.0,0,11,44,10,5,3,9,200,180,ClevelandCavaliers
DamianLillard,17,2,6,15,1,5,2,3,5,25,35.0,66.7,1,1,1,2,0,1,-26,11,MilwaukeeBucks
BobbyPortis,16,6,5,7,1,4,3,4,3,21,54.5,75.0,2,4,1,1,0,0,-8,19,MilwaukeeBucks
JaeCrowder,15,1,1,3,4,10,1,2,0,19,38.5,50.0,0,1,0,1,0,1,-3,8,MilwaukeeBucks
CameronPayne,13,0,3,4,2,5,1,1,1,13,55.6,100.0,0,0,0,1,0,0,-4,11,MilwaukeeBucks
BrookLopez,11,4,4,4,1,3,0,0,1,25,71.4,0,0,4,2,1,3,2,-34,16,MilwaukeeBucks
PatConnaughton,8,1,1,1,2,3,0,0,1,14,75.0,0,0,1,0,0,1,0,-3,10,MilwaukeeBucks
AndreJacksonJr.,6,8,3,3,0,1,0,0,0,23,75.0,0,2,6,1,0,0,2,-26,12,MilwaukeeBucks
A.J.Green,3,2,0,1,1,4,0,0,1,13,20.0,0,1,1,0,0,0,2,2,2,MilwaukeeBucks
MalikBeasley,2,5,1,3,0,3,0,0,1,22,16.7,0,1,4,0,0,0,3,-27,3,MilwaukeeBucks
RobinLopez,2,1,1,1,0,1,0,0,1,7,50.0,0,1,0,0,0,0,0,-2,3,MilwaukeeBucks
KhrisMiddleton,2,2,1,7,0,3,0,0,2,20,10.0,0,0,2,3,0,1,3,-40,-5,MilwaukeeBucks
MarJonBeauchamp,0,3,0,3,0,0,0,0,2,23,0.0,0,1,2,1,0,0,1,-12,1,MilwaukeeBucks
ThanasisAntetokounmpo,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,1,-11,1,MilwaukeeBucks
ChrisLivingston,0,1,0,1,0,0,0,0,0,9,0.0,0,0,1,0,0,0,2,-6,0,MilwaukeeBucks
MilwaukeeBucks,95,36,26,53,12,42,7,10,19,240,40.0,0,9,27,10,6,6,18,-200,92,MilwaukeeBucks
