PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JimmyButler,28,4,6,11,3,4,7,7,6,37,56.5,100.0,2,2,3,2,0,0,-1,31,MiamiHeat
BamAdebayo,22,20,8,19,1,1,3,5,10,38,64.3,66.7,5,15,4,2,2,2,5,39,MiamiHeat
TylerHerro,22,5,6,10,2,10,4,4,5,34,60.0,0,1,4,6,3,0,1,-9,17,MiamiHeat
DuncanRobinson,12,2,3,5,2,6,0,0,3,26,40.0,50.0,0,2,1,1,0,1,8,11,MiamiHeat
JaimeJaquez,9,2,3,3,1,4,0,0,1,18,57.1,100.0,1,1,1,1,0,1,0,9,MiamiHeat
KyleLowry,5,4,1,1,1,5,0,0,5,33,44.4,0,2,2,0,1,0,2,2,11,MiamiHeat
HaywoodHighsmith,5,1,1,1,1,5,0,0,0,22,40.0,75.0,0,1,0,1,1,2,10,4,MiamiHeat
JoshRichardson,3,2,0,0,1,2,0,0,0,21,66.7,0,0,2,1,0,0,4,-6,3,MiamiHeat
ThomasBryant,2,4,1,1,0,0,0,0,0,10,54.3,0,0,4,1,0,1,1,-4,6,MiamiHeat
MiamiHeat,108,44,29,51,12,37,14,16,30,240,46.6,0,11,33,17,11,4,14,5,131,MiamiHeat
LeBronJames,30,4,13,19,0,4,4,4,3,37,56.5,100.0,0,4,5,1,3,4,6,26,LosAngelesLakers
AustinReaves,23,10,6,6,3,8,2,3,9,40,64.3,66.7,3,7,4,1,0,1,2,33,LosAngelesLakers
D&#039;AngeloRussell,13,4,5,7,1,3,0,0,6,29,60.0,0,0,4,3,0,1,2,-4,17,LosAngelesLakers
ChristianWood,12,6,1,4,3,6,1,2,1,30,40.0,50.0,0,6,1,1,0,2,-1,12,LosAngelesLakers
AnthonyDavis,9,6,4,7,0,0,1,1,4,25,57.1,100.0,0,6,1,0,1,2,-9,16,LosAngelesLakers
TaureanPrince,9,3,3,5,1,4,0,0,2,34,44.4,0,0,3,0,2,0,4,13,11,LosAngelesLakers
CameronReddish,7,4,2,5,0,0,3,4,2,29,40.0,75.0,2,2,2,1,0,0,-4,8,LosAngelesLakers
MaxChristie,4,1,2,2,0,1,0,0,1,15,66.7,0,0,1,1,0,0,2,-8,4,LosAngelesLakers
LosAngelesLakers,107,38,36,55,8,26,11,14,28,240,54.3,0,5,33,17,6,5,17,-5,127,LosAngelesLakers
