PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PascalSiakam,31,7,12,19,2,3,1,3,4,33,59.5,92.3,4,3,2,2,0,1,9,32,IndianaPacers
ObiToppin,23,11,10,13,0,2,3,5,3,33,56.3,0,6,5,1,1,1,2,7,31,IndianaPacers
AaronNesmith,22,7,5,7,3,6,3,4,3,34,55.6,66.7,1,6,1,0,2,4,7,27,IndianaPacers
AndrewNembhard,22,1,9,14,1,2,1,1,8,30,38.5,100.0,1,0,1,1,0,1,7,25,IndianaPacers
JalenSmith,13,10,5,8,1,3,0,1,0,20,80.0,100.0,5,5,2,1,1,2,-5,17,IndianaPacers
BennedictMathurin,11,5,4,11,1,3,0,0,0,21,100.0,0,3,2,1,1,0,0,-2,7,IndianaPacers
MylesTurner,5,3,2,4,0,2,1,1,2,18,33.3,0,0,3,2,0,0,2,-2,4,IndianaPacers
T.J.McConnell,2,1,1,5,0,0,0,0,8,18,100.0,0,0,1,0,1,0,1,-5,8,IndianaPacers
BuddyHield,2,2,1,1,0,2,0,0,4,14,0.0,0,1,1,1,0,0,2,-5,5,IndianaPacers
BenSheppard,2,2,1,1,0,3,0,0,2,18,0.0,0,0,2,1,0,0,2,-1,2,IndianaPacers
IndianaPacers,133,49,50,83,8,26,9,15,34,240,56.7,0,21,28,12,7,4,17,10,158,IndianaPacers
DevinBooker,62,5,16,25,6,12,12,13,4,38,59.5,92.3,0,5,4,1,2,2,1,54,PhoenixSuns
KevinDurant,20,7,7,12,2,4,0,0,6,39,56.3,0,1,6,1,1,1,1,-9,27,PhoenixSuns
EricGordon,14,2,3,3,2,6,2,3,2,30,55.6,66.7,0,2,2,1,0,0,0,12,PhoenixSuns
BradleyBeal,12,4,4,8,1,5,1,1,3,34,38.5,100.0,1,3,6,1,1,5,-4,7,PhoenixSuns
GraysonAllen,11,3,2,2,2,3,1,1,1,37,80.0,100.0,0,3,2,0,1,5,-8,13,PhoenixSuns
DrewEubanks,8,5,4,4,0,0,0,0,1,16,100.0,0,2,3,1,0,0,1,12,13,PhoenixSuns
JusufNurkic,2,4,1,3,0,0,0,0,5,20,33.3,0,0,4,2,3,0,2,-3,10,PhoenixSuns
KeitaBates-Diop,2,4,1,1,0,0,0,0,1,9,100.0,0,1,3,1,0,0,0,7,6,PhoenixSuns
JoshOkogie,0,3,0,1,0,0,0,0,1,13,0.0,0,2,1,0,1,0,1,-1,4,PhoenixSuns
ChimezieMetu,0,1,0,1,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0,-5,0,PhoenixSuns
PhoenixSuns,131,38,38,60,13,30,16,18,24,240,56.7,0,7,31,19,8,5,17,-10,146,PhoenixSuns
