PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DejounteMurray,34,6,5,10,4,9,12,15,7,40,45.5,57.1,0,6,1,2,1,0,8,36,AtlantaHawks
SaddiqBey,24,6,4,6,4,9,4,4,3,39,60.0,60.0,2,4,1,1,1,1,12,27,AtlantaHawks
JalenT.Johnson,21,6,7,9,1,2,4,4,3,40,70.0,100.0,2,4,2,2,2,3,10,29,AtlantaHawks
TraeYoung,18,4,4,7,2,9,4,6,8,33,26.3,100.0,0,4,4,2,1,3,-1,17,AtlantaHawks
OnyekaOkongwu,11,7,4,9,0,1,3,7,1,32,60.0,0,3,4,1,0,3,5,2,11,AtlantaHawks
BogdanBogdanovic,8,7,2,6,1,6,1,1,2,31,26.7,0,1,6,2,0,0,4,13,6,AtlantaHawks
GarrisonMathews,3,2,0,0,1,1,0,0,1,9,66.7,0.0,0,2,0,0,0,1,1,6,AtlantaHawks
KobeBufkin,3,3,0,0,1,4,0,0,0,16,33.3,0,1,2,0,0,0,1,0,3,AtlantaHawks
AtlantaHawks,122,45,26,47,14,41,28,37,25,240,0.0,100.0,11,34,13,7,8,18,45,135,AtlantaHawks
JalenGreen,26,14,8,13,2,9,4,7,10,37,45.5,57.1,2,12,5,1,0,1,-7,31,HoustonRockets
JeffGreen,19,6,2,3,4,7,3,5,2,31,60.0,60.0,1,5,5,0,1,4,-20,17,HoustonRockets
AaronHoliday,18,1,4,5,3,5,1,1,2,22,70.0,100.0,0,1,0,0,1,4,1,19,HoustonRockets
DillonBrooks,14,1,3,9,2,10,2,2,1,35,26.3,100.0,1,0,0,0,0,3,-10,2,HoustonRockets
AmenThompson,12,11,6,9,0,1,0,0,3,33,60.0,0,4,7,2,1,0,5,-15,21,HoustonRockets
JabariSmithJr.,9,10,3,8,1,7,0,0,2,37,26.7,0,2,8,3,4,4,2,-6,15,HoustonRockets
JeenathanWilliams,8,2,4,6,0,0,0,2,0,9,66.7,0.0,2,0,0,0,0,3,2,6,HoustonRockets
ReggieBullock,3,2,0,0,1,3,0,0,0,15,33.3,0,0,2,0,0,0,1,1,3,HoustonRockets
JockLandale,2,9,0,2,0,1,2,2,2,13,0.0,100.0,3,6,2,0,0,1,5,8,HoustonRockets
Jae&#039;SeanTate,2,2,1,2,0,0,0,0,0,9,50.0,0,1,1,0,0,0,2,4,3,HoustonRockets
HoustonRockets,113,59,31,57,13,43,12,19,22,240,44.0,0,17,42,20,6,6,26,-45,125,HoustonRockets
