PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaiGilgeous-Alexander,24,4,6,13,1,2,9,9,6,35,40.0,100.0,0,4,1,0,0,2,9,25,OklahomaCityThunder
JoshGiddey,20,6,4,8,4,8,0,0,5,27,38.9,42.9,1,5,2,0,0,3,4,21,OklahomaCityThunder
ChetHolmgren,18,10,4,5,3,5,1,2,3,32,45.5,50.0,0,10,3,0,2,3,16,26,OklahomaCityThunder
LuguentzDort,18,4,3,5,4,5,0,0,3,30,45.5,50.0,0,4,0,0,1,4,15,23,OklahomaCityThunder
JalenWilliams,17,3,6,11,1,3,2,4,5,29,30.8,100.0,0,3,3,0,1,1,7,14,OklahomaCityThunder
CasonWallace,10,3,1,3,2,4,2,2,1,23,23.1,0,1,2,0,0,1,5,9,11,OklahomaCityThunder
IsaiahJoe,7,1,0,0,2,2,1,2,0,16,66.7,100.0,0,1,2,0,0,1,7,5,OklahomaCityThunder
JaylinWilliams,3,3,1,2,0,1,1,1,2,7,22.2,0,1,2,0,0,1,1,-2,7,OklahomaCityThunder
LindyWaters,3,0,0,0,1,1,0,0,0,2,100.0,50.0,0,0,0,0,0,0,-1,3,OklahomaCityThunder
VasilijeMicic,2,3,1,1,0,0,0,0,4,12,100.0,0,1,2,0,1,0,4,6,10,OklahomaCityThunder
KenrichWilliams,2,4,1,2,0,2,0,0,2,18,38.0,0,0,4,0,0,0,0,7,5,OklahomaCityThunder
AaronWiggins,0,5,0,0,0,0,0,0,0,11,0,0,1,4,2,0,0,0,3,3,OklahomaCityThunder
OklahomaCityThunder,124,46,27,50,18,33,16,20,31,240,54.2,0,5,41,13,1,6,24,80,153,OklahomaCityThunder
MikalBridges,22,7,5,10,3,10,3,3,7,37,40.0,100.0,0,7,0,1,0,1,-8,25,BrooklynNets
CamThomas,20,1,4,10,3,8,3,7,1,26,38.9,42.9,1,0,1,1,0,2,-9,7,BrooklynNets
NicClaxton,15,16,5,11,0,0,5,10,5,37,45.5,50.0,6,10,0,1,1,2,-21,27,BrooklynNets
CameronJohnson,13,6,3,5,2,6,1,2,0,34,45.5,50.0,1,5,1,1,0,4,-8,12,BrooklynNets
SpencerDinwiddie,13,3,3,7,1,6,4,4,5,37,30.8,100.0,3,0,1,1,0,3,-12,12,BrooklynNets
DorianFinney-Smith,8,6,1,5,2,8,0,0,2,24,23.1,0,3,3,0,1,0,2,-11,7,BrooklynNets
DennisSmith,7,3,2,2,0,1,3,3,4,15,66.7,100.0,1,2,3,1,0,4,-7,11,BrooklynNets
RoyceO&#039;Neale,5,3,1,2,1,7,0,0,2,21,22.2,0,1,2,0,1,0,2,-11,4,BrooklynNets
Day&#039;RonSharpe,3,2,1,1,0,0,1,2,0,8,100.0,50.0,1,1,0,1,1,1,6,6,BrooklynNets
TrendonWatford,2,0,1,1,0,0,0,0,0,2,100.0,0,0,0,0,0,0,0,1,2,BrooklynNets
BrooklynNets,108,47,26,54,12,46,20,31,26,240,38.0,0,17,30,6,9,2,21,-80,113,BrooklynNets
