PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LauriMarkkanen,28,10,6,6,4,9,4,4,3,33,63.0,90.9,2,8,0,1,0,2,1,37,UtahJazz
CollinSexton,22,1,6,10,2,4,4,4,6,25,61.9,100.0,0,1,3,1,1,2,-6,22,UtahJazz
JordanClarkson,16,2,4,8,1,7,5,7,10,34,42.9,50.0,0,2,1,0,0,1,-4,15,UtahJazz
JohnCollins,15,9,5,7,1,3,2,3,2,34,100.0,100.0,3,6,0,1,2,2,-7,24,UtahJazz
KellyOlynyk,14,3,2,2,1,2,7,7,3,19,33.3,100.0,0,3,0,0,0,1,-5,19,UtahJazz
KeyonteGeorge,11,3,4,5,1,4,0,0,3,21,50.0,100.0,0,3,2,0,0,1,-1,11,UtahJazz
WalkerKessler,8,7,4,4,0,0,0,0,2,14,28.6,0,3,4,1,0,4,2,4,20,UtahJazz
SimoneFontecchio,7,4,2,3,1,6,0,0,2,27,28.6,0,2,2,0,0,0,2,5,7,UtahJazz
KrisDunn,3,3,0,3,1,1,0,0,4,16,25.0,0,0,3,1,0,2,0,3,8,UtahJazz
OmerYurtseven,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,UtahJazz
OchaiAgbaji,0,1,0,3,0,0,0,0,1,17,50.0,0,0,1,1,0,0,2,-5,-2,UtahJazz
UtahJazz,124,48,33,51,12,36,22,25,36,240,51.7,0,12,36,11,3,9,15,-15,161,UtahJazz
TyreseMaxey,51,2,10,18,7,9,10,11,1,41,63.0,90.9,0,2,0,0,1,4,-2,44,Philadelphia76ers
TobiasHarris,28,5,13,16,0,5,2,2,7,39,61.9,100.0,2,3,0,1,1,3,5,34,Philadelphia76ers
KellyOubre,16,4,3,8,3,6,1,2,2,40,42.9,50.0,1,3,0,2,3,4,-1,18,Philadelphia76ers
PatrickBeverley,8,4,0,0,2,2,2,2,5,18,100.0,100.0,0,4,2,0,0,2,4,15,Philadelphia76ers
PaulReed,7,10,3,8,0,1,1,1,4,28,33.3,100.0,4,6,1,1,2,2,5,17,Philadelphia76ers
DanuelHouse,5,2,1,1,0,1,3,3,3,19,50.0,100.0,1,1,0,1,1,2,10,11,Philadelphia76ers
FurkanKorkmaz,5,2,1,3,1,4,0,0,2,13,28.6,0,0,2,0,0,0,1,8,4,Philadelphia76ers
MohamedBamba,4,9,2,5,0,2,0,0,0,18,28.6,0,1,8,1,0,3,1,-7,10,Philadelphia76ers
JadenSpringer,3,1,0,2,1,2,0,0,2,19,25.0,0,0,1,0,1,0,3,-4,4,Philadelphia76ers
KenyonMartin,0,1,0,1,0,0,0,0,1,5,0.0,0,1,0,0,0,0,0,-3,1,Philadelphia76ers
Philadelphia76ers,127,43,33,62,14,32,19,21,27,240,50.0,0,13,30,4,6,11,22,15,158,Philadelphia76ers
