PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
LeBronJames,28,10,6,8,3,7,7,8,12,35,60.0,87.5,2,8,6,4,1,1,0,42,LosAngelesLakers
D&#039;AngeloRussell,28,5,8,14,4,6,0,0,5,35,60.0,0.0,3,2,2,0,1,3,-13,29,LosAngelesLakers
CameronReddish,16,2,5,9,2,5,0,0,0,32,50.0,0.0,0,2,1,5,0,1,0,15,LosAngelesLakers
AustinReaves,9,11,4,5,0,5,1,2,8,34,40.0,50.0,2,9,4,1,0,1,0,18,LosAngelesLakers
AnthonyDavis,9,9,3,8,0,1,3,3,0,35,33.3,100.0,0,9,5,0,4,4,-13,11,LosAngelesLakers
TaureanPrince,7,2,2,3,1,4,0,0,0,25,42.9,0.0,0,2,0,1,0,2,-24,6,LosAngelesLakers
ChristianWood,5,2,2,2,0,0,1,2,0,9,100.0,50.0,0,2,1,0,0,1,-6,5,LosAngelesLakers
RuiHachimura,5,0,1,4,1,1,0,0,0,18,40.0,0.0,0,0,0,0,0,0,-5,2,LosAngelesLakers
JaxsonHayes,3,1,0,0,0,0,3,4,0,13,0.0,75.0,0,1,2,1,0,4,-2,2,LosAngelesLakers
D&#039;MoiHodge,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,-4,0,LosAngelesLakers
MaxChristie,0,1,0,1,0,0,0,0,0,1,0.0,0.0,0,1,1,0,0,0,-4,-1,LosAngelesLakers
MaxwellLewis,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,1,0,0,0,-4,-1,LosAngelesLakers
LosAngelesLakers,110,43,31,54,11,29,15,19,25,240,50.6,0.0,7,36,23,12,6,17,-75,128,LosAngelesLakers
DomantasSabonis,29,16,12,18,1,1,2,2,7,39,68.4,100.0,5,11,4,3,1,3,20,46,SacramentoKings
KevinHuerter,28,4,4,5,6,11,2,2,7,38,62.5,100.0,0,4,0,2,0,2,21,35,SacramentoKings
De&#039;AaronFox,28,5,7,13,3,9,5,7,5,38,45.5,71.4,3,2,3,4,0,3,15,25,SacramentoKings
HarrisonBarnes,13,1,2,4,3,6,0,0,2,39,50.0,0.0,0,1,2,4,0,3,16,13,SacramentoKings
KeeganMurray,9,6,1,2,2,7,1,2,2,31,33.3,50.0,0,6,1,2,0,2,13,11,SacramentoKings
JaValeMcGee,7,6,3,3,0,0,1,2,1,9,100.0,50.0,2,4,2,2,0,3,-7,13,SacramentoKings
ChrisDuarte,4,0,2,2,0,0,0,0,1,4,100.0,0.0,0,0,0,0,0,1,3,5,SacramentoKings
SashaVezenkov,4,0,1,1,0,3,2,2,0,12,25.0,100.0,0,0,0,2,0,0,-6,3,SacramentoKings
MalikMonk,3,5,0,3,1,5,0,0,5,21,12.5,0.0,0,5,3,1,0,1,-6,4,SacramentoKings
KeonEllis,0,2,0,1,0,2,0,0,1,9,0.0,0.0,1,1,0,0,0,2,6,0,SacramentoKings
KesslerEdwards,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,SacramentoKings
JalenSlawson,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,SacramentoKings
FilipPetrusev,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,SacramentoKings
SacramentoKings,125,45,32,52,16,44,13,17,31,240,50.0,0.0,11,34,15,20,1,20,75,155,SacramentoKings
