PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BradleyBeal,21,4,7,13,1,3,4,4,1,34,38.9,50.0,0,4,4,1,1,2,22,16,PhoenixSuns
JusufNurkic,18,7,5,6,1,2,5,6,5,25,50.0,66.7,1,6,2,1,2,3,17,28,PhoenixSuns
ChimezieMetu,14,5,2,4,2,4,4,4,1,26,42.9,66.7,2,3,2,1,0,3,6,15,PhoenixSuns
GraysonAllen,12,2,2,2,2,5,2,2,4,28,37.5,100.0,0,2,1,2,1,1,16,17,PhoenixSuns
EricGordon,12,3,2,4,2,6,2,5,1,20,40.0,100.0,0,3,1,1,0,0,16,7,PhoenixSuns
BolBol,11,9,3,4,1,2,2,2,1,20,37.5,0,2,7,2,0,0,5,10,17,PhoenixSuns
DevinBooker,10,8,3,12,1,4,1,2,6,31,60.0,0,3,5,2,1,0,2,12,10,PhoenixSuns
KeitaBates-Diop,3,3,0,0,1,1,0,0,1,17,25.0,100.0,0,3,0,2,0,1,15,9,PhoenixSuns
JoshOkogie,3,2,1,2,0,0,1,2,3,18,100.0,0,0,2,1,0,1,1,8,6,PhoenixSuns
JordanGoodwin,2,1,1,1,0,1,0,0,1,6,20.0,0,1,0,1,1,0,0,-5,3,PhoenixSuns
YutaWatanabe,2,0,1,1,0,1,0,0,0,6,50.0,0,0,0,0,0,0,0,-5,1,PhoenixSuns
DrewEubanks,1,1,0,0,0,0,1,4,0,6,41.3,0,0,1,0,0,0,2,-5,-1,PhoenixSuns
UdokaAzubuike,0,2,0,2,0,0,0,2,0,4,0.0,0.0,0,2,0,0,0,0,-2,-2,PhoenixSuns
PhoenixSuns,109,47,27,51,11,29,22,33,24,240,47.5,0,9,38,16,10,5,20,105,126,PhoenixSuns
ScootHenderson,17,3,6,15,1,3,2,4,6,34,38.9,50.0,0,3,5,1,2,1,-18,11,PortlandTrailBlazers
JeramiGrant,15,1,5,9,1,3,2,3,3,25,50.0,66.7,0,1,3,1,1,1,-13,11,PortlandTrailBlazers
JabariWalker,10,9,3,5,0,2,4,6,0,25,42.9,66.7,2,7,1,1,0,2,-16,13,PortlandTrailBlazers
MalcolmBrogdon,10,2,1,4,2,4,2,2,5,21,37.5,100.0,0,2,2,0,0,0,-5,10,PortlandTrailBlazers
IshmailWainright,8,1,0,1,2,4,2,2,0,12,40.0,100.0,0,1,1,0,1,2,3,6,PortlandTrailBlazers
SkylarMays,7,2,2,5,1,3,0,0,3,17,37.5,0,1,1,1,0,1,1,-10,7,PortlandTrailBlazers
KrisMurray,6,2,3,3,0,2,0,0,1,19,60.0,0,1,1,0,1,1,2,-11,9,PortlandTrailBlazers
ShaedonSharpe,6,1,2,3,0,5,2,2,1,18,25.0,100.0,1,0,1,0,0,0,-14,1,PortlandTrailBlazers
IbouBadji,4,5,2,2,0,0,0,0,1,23,100.0,0,0,5,2,0,1,6,-6,9,PortlandTrailBlazers
MatisseThybulle,3,4,0,1,1,4,0,0,0,29,20.0,0,1,3,0,2,2,2,-10,7,PortlandTrailBlazers
MosesBrown,2,6,1,2,0,0,0,0,1,16,50.0,0,0,6,2,0,1,2,-5,7,PortlandTrailBlazers
PortlandTrailBlazers,88,36,25,50,8,30,14,19,21,240,41.3,0,6,30,18,6,10,19,-105,91,PortlandTrailBlazers
