PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GordonHayward,24,4,9,13,1,2,3,4,4,35,66.7,50.0,3,1,3,1,0,1,2,24,CharlotteHornets
MilesBridges,22,8,5,9,3,6,3,3,3,38,73.3,75.0,0,8,1,2,0,0,2,27,CharlotteHornets
TerryRozier,21,2,5,10,2,5,5,5,13,40,70.0,0,0,2,2,0,0,5,5,26,CharlotteHornets
BrandonMiller,20,5,3,8,4,7,2,2,3,35,25.0,100.0,0,5,4,0,2,1,2,18,CharlotteHornets
NickRichards,15,8,5,7,0,0,5,6,0,26,44.4,100.0,2,6,1,1,0,2,7,20,CharlotteHornets
P.J.Washington,11,1,1,2,3,5,0,0,2,25,100.0,0,0,1,2,2,0,4,-7,11,CharlotteHornets
MarkWilliams,4,3,2,4,0,0,0,0,1,20,42.9,100.0,2,1,1,1,2,2,5,8,CharlotteHornets
IshmaelSmith,2,0,1,1,0,0,0,0,4,14,30.0,100.0,0,0,1,0,0,0,1,5,CharlotteHornets
BryceMcGowens,0,0,0,0,0,0,0,0,0,7,0.0,0,0,0,0,0,0,0,-2,0,CharlotteHornets
CharlotteHornets,119,31,31,54,13,25,18,20,30,240,0.0,0,7,24,15,7,4,15,15,139,CharlotteHornets
ScottieBarnes,31,10,9,12,3,6,4,8,10,36,66.7,50.0,4,6,5,2,1,1,1,39,TorontoRaptors
PascalSiakam,25,5,11,14,0,1,3,4,4,33,73.3,75.0,1,4,1,1,0,2,-9,29,TorontoRaptors
PreciousAchiuwa,17,10,4,6,3,4,0,0,1,22,70.0,0,4,6,4,0,0,4,4,21,TorontoRaptors
OguguaAnunoby,11,3,3,6,0,6,5,5,4,36,25.0,100.0,0,3,0,1,0,3,0,10,TorontoRaptors
ChrisBoucher,9,3,4,6,0,3,1,1,0,13,44.4,100.0,1,2,1,0,1,4,11,7,TorontoRaptors
JakobPoeltl,8,8,4,4,0,0,0,0,1,26,100.0,0,4,4,0,0,0,2,-7,17,TorontoRaptors
MalachiFlynn,8,0,3,3,0,4,2,2,4,17,42.9,100.0,0,0,1,2,0,1,8,9,TorontoRaptors
DennisSchroder,7,1,3,6,0,4,1,1,5,30,30.0,100.0,0,1,2,1,0,4,-9,5,TorontoRaptors
OttoPorter,0,0,0,0,0,1,0,0,1,6,0.0,0,0,0,0,0,0,0,-7,0,TorontoRaptors
GaryTrentJr.,0,2,0,4,0,3,0,0,2,20,0.0,0,0,2,0,0,0,0,-7,-3,TorontoRaptors
TorontoRaptors,116,42,41,61,6,32,16,21,32,240,50.5,0,14,28,14,7,2,21,-15,134,TorontoRaptors
