PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaoloBanchero,26,4,7,13,2,5,6,9,7,36,65.4,81.8,1,3,2,0,0,1,11,23,OrlandoMagic
MoritzWagner,16,12,5,13,0,0,6,8,1,23,58.3,0,5,7,0,1,1,1,20,21,OrlandoMagic
MarkelleFultz,14,2,7,10,0,0,0,0,4,27,80.0,0,1,1,0,5,0,3,1,22,OrlandoMagic
FranzWagner,11,8,1,4,2,7,3,3,7,31,30.8,25.0,2,6,2,1,0,2,18,17,OrlandoMagic
JalenSuggs,10,4,2,3,2,8,0,0,5,32,100.0,50.0,1,3,2,2,1,4,4,13,OrlandoMagic
WendellCarter,9,3,3,4,1,4,0,0,1,23,33.3,50.0,0,3,0,0,1,1,-6,10,OrlandoMagic
JonathanIsaac,9,3,2,5,1,2,2,4,1,23,100.0,0,1,2,1,1,2,2,17,9,OrlandoMagic
JoeIngles,6,2,0,0,2,4,0,0,2,13,33.3,0.0,0,2,0,0,0,3,-1,8,OrlandoMagic
ColeAnthony,5,1,1,3,1,2,0,0,1,10,50.0,0,0,1,0,2,0,3,3,6,OrlandoMagic
AnthonyBlack,4,1,1,1,0,1,2,2,1,13,0.0,0,0,1,0,0,1,1,4,6,OrlandoMagic
CalebHoustan,3,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,OrlandoMagic
GogaBitadze,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,OrlandoMagic
ChumaOkeke,0,0,0,0,0,1,0,0,0,2,56.2,0,0,0,0,0,0,0,1,-1,OrlandoMagic
TrevelinQueen,0,0,0,0,0,1,0,0,0,2,0.0,0,0,0,0,0,0,0,1,-1,OrlandoMagic
OrlandoMagic,113,44,29,56,12,36,19,26,30,240,44.6,0,13,31,7,12,7,21,75,137,OrlandoMagic
DevinBooker,44,4,16,24,1,2,9,11,3,36,65.4,81.8,1,3,4,1,2,3,-4,39,PhoenixSuns
KevinDurant,15,4,6,9,1,3,0,0,5,37,58.3,0,0,4,7,0,1,3,-25,13,PhoenixSuns
EricGordon,9,1,3,3,1,2,0,0,1,22,80.0,0,0,1,2,0,0,1,-14,8,PhoenixSuns
BradleyBeal,9,5,4,8,0,5,1,4,6,35,30.8,25.0,1,4,4,1,0,4,-16,5,PhoenixSuns
GraysonAllen,8,5,2,2,1,1,1,2,1,33,100.0,50.0,0,5,1,0,0,2,-9,12,PhoenixSuns
KeitaBates-Diop,5,1,2,5,0,1,1,2,0,20,33.3,50.0,0,1,1,0,1,1,0,1,PhoenixSuns
DrewEubanks,4,8,2,2,0,0,0,0,3,29,100.0,0,1,7,2,1,1,3,-2,15,PhoenixSuns
UdokaAzubuike,2,6,1,3,0,0,0,2,0,11,33.3,0.0,2,4,0,0,0,1,-3,4,PhoenixSuns
JordanGoodwin,2,1,1,2,0,0,0,0,0,2,50.0,0,1,0,0,0,0,0,1,2,PhoenixSuns
JoshOkogie,0,2,0,1,0,0,0,0,0,6,0.0,0,0,2,0,0,0,0,2,1,PhoenixSuns
NassirLittle,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,PhoenixSuns
ChimezieMetu,0,1,0,0,0,0,0,0,0,7,0,0,0,1,1,1,0,1,-6,1,PhoenixSuns
PhoenixSuns,98,46,37,59,4,14,12,21,19,240,56.2,0,9,37,23,4,5,19,-75,102,PhoenixSuns
