PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,26,7,5,9,3,7,7,9,7,37,41.7,66.7,1,6,7,2,0,5,2,25,LAClippers
NormanPowell,20,2,3,6,4,7,2,6,3,31,41.7,100.0,0,2,0,0,0,5,8,15,LAClippers
KawhiLeonard,14,5,5,12,1,4,1,2,3,37,83.3,42.9,1,4,0,1,2,3,-18,14,LAClippers
RussellWestbrook,12,9,4,9,1,4,1,2,5,31,80.0,100.0,1,8,4,3,0,3,10,16,LAClippers
JamesHarden,11,4,3,5,1,7,2,2,3,29,20.0,100.0,2,2,1,1,1,0,-28,11,LAClippers
TeranceMann,7,3,2,4,1,3,0,0,3,27,50.0,0,1,2,1,0,0,2,13,8,LAClippers
IvicaZubac,6,6,2,4,0,0,2,2,1,23,57.1,0,0,6,1,1,0,3,-5,11,LAClippers
P.J.Tucker,3,2,0,0,1,2,0,0,1,13,33.3,0,1,1,0,1,0,1,4,6,LAClippers
MoussaDiabate,2,3,1,2,0,0,0,0,0,12,0.0,0,1,2,0,0,0,1,-6,4,LAClippers
LAClippers,101,47,25,51,12,34,15,23,26,240,0.0,0,12,35,16,9,3,23,-20,110,LAClippers
DesmondBane,27,4,7,13,3,11,4,6,6,35,41.7,66.7,1,3,4,0,1,4,11,18,MemphisGrizzlies
MarcusSmart,17,3,2,5,3,7,4,4,7,36,41.7,100.0,0,3,5,0,0,3,16,15,MemphisGrizzlies
BismackBiyombo,13,12,5,6,0,0,3,7,3,36,83.3,42.9,4,8,1,1,2,3,20,25,MemphisGrizzlies
LukeKennard,13,1,0,0,4,5,1,1,2,24,80.0,100.0,0,1,0,1,0,1,-1,16,MemphisGrizzlies
JarenJacksonJr.,12,4,3,12,0,3,6,6,1,29,20.0,100.0,0,4,3,1,1,4,-3,4,MemphisGrizzlies
SantiagoAldama,9,3,3,4,1,4,0,0,2,21,50.0,0,0,3,2,0,1,1,-3,9,MemphisGrizzlies
DavidRoddy,8,6,4,6,0,1,0,0,0,21,57.1,0,4,2,0,1,1,1,-5,13,MemphisGrizzlies
JacobGilyard,6,5,0,0,2,6,0,0,3,24,33.3,0,1,4,0,3,0,3,3,13,MemphisGrizzlies
JohnKonchar,0,2,0,0,0,1,0,0,0,5,0.0,0,0,2,1,0,0,2,-12,0,MemphisGrizzlies
ZiaireWilliams,0,1,0,1,0,3,0,0,1,9,0.0,0,1,0,0,0,0,1,-6,-2,MemphisGrizzlies
MemphisGrizzlies,105,45,24,47,13,41,18,24,25,240,42.0,0,13,32,16,7,6,23,20,111,MemphisGrizzlies
