PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MylesTurner,20,11,3,6,3,8,5,8,3,32,52.6,66.7,2,9,1,0,2,2,-9,24,IndianaPacers
TyreseHaliburton,19,5,5,8,1,8,6,7,13,36,35.3,90.9,1,4,4,2,0,1,2,24,IndianaPacers
BruceBrown,15,7,3,6,3,6,0,0,1,37,31.6,100.0,2,5,3,1,0,2,-13,15,IndianaPacers
BennedictMathurin,15,4,3,7,1,4,6,6,0,28,71.4,0,1,3,2,0,0,5,-7,10,IndianaPacers
BuddyHield,11,5,1,4,3,8,0,0,4,19,50.0,100.0,3,2,2,0,0,0,-2,10,IndianaPacers
JalenSmith,8,2,4,5,0,2,0,0,0,16,60.0,50.0,0,2,1,1,1,3,2,8,IndianaPacers
ObiToppin,6,8,2,3,0,2,2,2,0,24,50.0,0,2,6,0,1,0,1,9,12,IndianaPacers
AndrewNembhard,6,1,3,3,0,4,0,0,2,21,66.7,0,0,1,4,2,0,4,-2,3,IndianaPacers
AaronNesmith,5,4,0,0,1,4,2,2,3,27,50.0,50.0,0,4,0,0,2,6,-15,11,IndianaPacers
IndianaPacers,105,47,24,42,12,46,21,25,26,240,0.0,0,11,36,17,7,5,24,-35,117,IndianaPacers
NikolaVucevic,24,17,10,18,0,1,4,6,3,34,52.6,66.7,5,12,1,1,0,3,0,33,ChicagoBulls
ZachLaVine,23,5,5,11,1,6,10,11,1,36,35.3,90.9,0,5,1,0,0,1,2,16,ChicagoBulls
DeMarDerozan,20,2,6,18,0,1,8,8,4,35,31.6,100.0,1,1,0,0,1,2,15,14,ChicagoBulls
JevonCarter,11,2,4,6,1,1,0,0,2,18,71.4,0,0,2,3,1,1,1,4,12,ChicagoBulls
PatrickWilliams,9,4,2,4,1,2,2,2,0,22,50.0,100.0,0,4,1,1,1,0,-7,11,ChicagoBulls
AlexCaruso,8,4,2,3,1,2,1,2,3,26,60.0,50.0,1,3,3,0,1,1,6,10,ChicagoBulls
CobyWhite,7,2,2,4,1,2,0,0,3,25,50.0,0,0,2,1,1,0,4,5,9,ChicagoBulls
TorreyCraig,5,4,1,2,1,1,0,0,1,20,66.7,0,1,3,2,2,1,3,5,10,ChicagoBulls
AndreDrummond,5,3,2,4,0,0,1,2,2,14,50.0,50.0,2,1,1,1,0,0,7,7,ChicagoBulls
AyoDosunmu,0,1,0,0,0,1,0,0,0,10,0.0,0,0,1,0,1,1,2,-2,2,ChicagoBulls
ChicagoBulls,112,44,34,70,6,17,26,31,19,240,46.0,0,10,34,13,8,6,17,35,124,ChicagoBulls
