PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
StephenCurry,37,3,8,14,6,8,3,3,1,35,62.5,100.0,0,3,3,0,3,1,7,33,GoldenStateWarriors
KlayThompson,24,5,3,10,4,9,6,6,3,36,66.7,100.0,2,3,0,1,0,2,9,21,GoldenStateWarriors
BrandinPodziemski,19,5,3,6,4,9,1,2,5,32,35.3,100.0,1,4,5,3,1,4,0,19,GoldenStateWarriors
AndrewWiggins,14,5,3,8,1,1,5,5,1,27,46.2,50.0,2,3,0,1,0,0,0,16,GoldenStateWarriors
DarioSaric,12,6,3,5,2,3,0,0,2,21,41.7,0.0,3,3,2,1,0,3,-4,16,GoldenStateWarriors
JonathanKuminga,10,4,3,6,0,0,4,4,2,21,40.0,0,2,2,1,0,1,1,4,13,GoldenStateWarriors
KevonLooney,4,7,2,5,0,0,0,0,3,27,100.0,0,1,6,0,1,0,2,6,12,GoldenStateWarriors
ChrisPaul,2,4,1,2,0,2,0,0,11,30,0.0,0,0,4,3,0,0,2,3,11,GoldenStateWarriors
MosesMoody,2,3,1,3,0,0,0,0,1,12,0.0,0,2,1,0,0,0,0,-5,4,GoldenStateWarriors
GoldenStateWarriors,124,44,27,59,17,32,19,20,29,240,48.4,0,14,30,17,7,5,16,20,145,GoldenStateWarriors
CamThomas,41,5,10,11,5,13,6,6,2,37,62.5,100.0,0,5,5,1,0,5,-3,35,BrooklynNets
NicClaxton,19,12,8,12,0,0,3,3,1,33,66.7,100.0,5,7,2,0,4,1,-5,30,BrooklynNets
MikalBridges,18,6,3,13,3,4,3,3,2,42,35.3,100.0,1,5,2,1,0,1,-4,14,BrooklynNets
SpencerDinwiddie,16,5,3,3,3,10,1,2,14,40,46.2,50.0,1,4,2,3,1,1,-6,29,BrooklynNets
CameronJohnson,13,2,2,5,3,7,0,1,5,29,41.7,0.0,0,2,0,0,0,4,-2,12,BrooklynNets
RoyceO&#039;Neale,11,5,1,1,3,9,0,0,3,34,40.0,0,3,2,3,1,1,4,3,12,BrooklynNets
JalenWilson,2,1,1,1,0,0,0,0,0,8,100.0,0,1,0,1,0,0,1,-3,2,BrooklynNets
Day&#039;RonSharpe,0,4,0,3,0,0,0,0,2,9,0.0,0,3,1,0,0,2,3,-2,5,BrooklynNets
TrendonWatford,0,2,0,1,0,0,0,0,2,8,0.0,0,0,2,1,0,0,1,2,2,BrooklynNets
BrooklynNets,120,46,28,50,17,43,13,15,31,240,48.4,0,14,32,16,6,8,21,-20,141,BrooklynNets
