PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonteDiVincenzo,36,2,6,14,7,12,3,4,3,43,54.2,85.7,0,2,4,0,0,0,-19,23,NewYorkKnicks
JoshHart,23,10,5,14,3,8,4,4,12,39,50.0,0,1,9,2,1,0,3,-12,30,NewYorkKnicks
MilesMcBride,21,6,7,12,2,10,1,1,5,45,71.4,100.0,4,2,2,2,0,1,-11,19,NewYorkKnicks
PreciousAchiuwa,13,16,5,7,1,2,0,0,3,41,41.2,0,3,13,3,0,1,5,-14,27,NewYorkKnicks
IsaiahHartenstein,10,4,4,5,0,0,2,2,2,15,55.6,100.0,2,2,2,2,0,2,-10,15,NewYorkKnicks
CharlesBrown,3,2,0,2,1,3,0,0,0,22,100.0,50.0,1,1,0,0,1,4,-11,2,NewYorkKnicks
JacobToppin,2,2,1,1,0,1,0,0,1,12,40.0,0,1,1,0,0,0,0,-1,4,NewYorkKnicks
TajGibson,0,4,0,2,0,1,0,0,1,22,50.0,0,2,2,1,0,0,4,8,1,NewYorkKnicks
NewYorkKnicks,108,47,28,57,14,37,10,11,27,240,50.0,0.0,15,32,15,5,2,19,-70,121,NewYorkKnicks
LukaDoncic,39,8,6,10,7,14,6,7,11,40,54.2,85.7,0,8,3,4,1,1,18,48,DallasMavericks
TimHardawayJr.,19,2,2,4,5,10,0,0,2,30,50.0,0,0,2,0,0,0,1,11,16,DallasMavericks
DerrickJones,18,5,4,4,1,3,7,7,3,30,71.4,100.0,1,4,0,0,0,1,15,24,DallasMavericks
KyrieIrving,16,5,5,11,2,6,0,0,6,36,41.2,0,0,5,2,0,0,3,12,15,DallasMavericks
JoshGreen,15,6,3,4,2,5,3,3,3,32,55.6,100.0,1,5,0,1,1,2,5,22,DallasMavericks
DwightPowell,5,6,2,2,0,0,1,2,1,21,100.0,50.0,3,3,1,0,0,4,1,10,DallasMavericks
JadenHardy,4,2,2,4,0,1,0,0,1,14,40.0,0,0,2,1,1,0,0,2,4,DallasMavericks
MarkieffMorris,3,2,0,0,1,2,0,0,0,6,50.0,0,0,2,0,0,0,0,-1,4,DallasMavericks
MaximilianKleber,2,4,1,1,0,1,0,2,3,27,50.0,0.0,1,3,1,1,4,1,13,10,DallasMavericks
BrandonWilliams,1,0,0,0,0,0,1,2,0,1,0,50.0,0,0,0,0,0,0,-2,0,DallasMavericks
Olivier-MaxenceProsper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,DallasMavericks
A.J.Lawson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-2,0,DallasMavericks
DallasMavericks,122,42,25,40,18,42,18,23,30,240,52.4,0,7,35,8,7,6,13,70,153,DallasMavericks
