PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenBrunson,32,5,8,14,4,8,4,5,8,38,55.0,83.3,0,5,0,1,1,2,24,36,NewYorkKnicks
JuliusRandle,19,9,3,10,3,4,4,4,3,32,42.9,100.0,3,6,4,0,0,2,2,19,NewYorkKnicks
OguguaAnunoby,19,1,6,9,2,5,1,3,4,34,38.9,0,0,1,1,2,0,2,13,17,NewYorkKnicks
JoshHart,14,9,3,4,2,3,2,2,5,32,60.0,0,1,8,1,0,0,1,30,25,NewYorkKnicks
QuentinGrimes,12,4,1,1,2,5,4,8,1,24,33.3,100.0,1,3,0,1,0,2,10,11,NewYorkKnicks
DonteDiVincenzo,11,1,1,4,3,6,0,0,2,20,60.0,0,1,0,0,1,0,1,0,9,NewYorkKnicks
MilesMcBride,9,1,2,2,1,2,2,2,0,10,33.3,75.0,0,1,0,0,0,1,-8,9,NewYorkKnicks
PreciousAchiuwa,4,10,2,7,0,0,0,0,1,31,50.0,50.0,3,7,0,1,2,2,19,13,NewYorkKnicks
IsaiahHartenstein,4,6,2,2,0,0,0,0,1,16,50.0,0,2,4,0,0,0,2,1,11,NewYorkKnicks
JerichoSims,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,-3,0,NewYorkKnicks
MalachiFlynn,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4,-1,NewYorkKnicks
RyanArcidiacono,0,0,0,0,0,0,0,0,0,1,46.6,0,0,0,1,0,0,0,-4,-1,NewYorkKnicks
NewYorkKnicks,125,53,28,54,17,33,18,26,25,240,51.7,0,15,38,7,6,3,15,80,148,NewYorkKnicks
JimmyButler,28,8,10,17,1,3,5,6,4,36,55.0,83.3,4,4,0,3,0,2,-7,33,MiamiHeat
DuncanRobinson,19,1,1,3,5,11,2,2,3,26,42.9,100.0,0,1,3,1,0,4,-11,13,MiamiHeat
TylerHerro,18,1,3,7,4,11,0,0,3,35,38.9,0,0,1,1,0,0,2,-17,10,MiamiHeat
BamAdebayo,12,13,6,10,0,0,0,0,1,33,60.0,0,3,10,2,0,0,1,-20,20,MiamiHeat
TerryRozier,10,5,4,10,0,2,2,2,7,32,33.3,100.0,0,5,2,0,0,1,-14,12,MiamiHeat
HaywoodHighsmith,8,4,1,1,2,4,0,0,2,21,60.0,0,1,3,0,0,2,2,4,14,MiamiHeat
JaimeJaquez,6,1,0,1,1,2,3,4,4,24,33.3,75.0,0,1,0,2,2,4,-18,12,MiamiHeat
CalebMartin,6,3,1,1,1,3,1,2,0,16,50.0,50.0,0,3,0,0,1,2,-2,7,MiamiHeat
KevinLove,2,2,1,1,0,1,0,0,2,14,50.0,0,0,2,0,0,0,0,-3,5,MiamiHeat
NikolaJovic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,MiamiHeat
OrlandoRobinson,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,MiamiHeat
MiamiHeat,109,40,27,51,14,37,13,16,26,240,46.6,0,8,32,12,6,5,19,-80,126,MiamiHeat
