PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
FranzWagner,32,9,8,14,3,5,7,7,2,39,64.0,75.0,2,7,4,4,1,1,15,36,OrlandoMagic
PaoloBanchero,29,10,7,13,2,6,9,12,4,36,26.7,100.0,1,9,2,1,1,3,4,30,OrlandoMagic
JalenSuggs,21,2,6,8,2,7,3,6,6,31,41.2,80.0,0,2,3,0,1,4,9,17,OrlandoMagic
GogaBitadze,13,7,4,8,0,0,5,8,0,30,40.0,100.0,3,4,2,1,2,3,16,14,OrlandoMagic
ColeAnthony,9,2,3,5,0,3,3,4,5,23,50.0,100.0,0,2,1,2,0,2,6,11,OrlandoMagic
MoritzWagner,7,11,2,5,0,3,3,3,1,18,50.0,0,4,7,1,0,1,1,-7,13,OrlandoMagic
AnthonyBlack,4,6,2,2,0,0,0,0,5,29,33.3,0,2,4,1,2,0,4,0,16,OrlandoMagic
ChumaOkeke,2,0,1,1,0,4,0,0,1,12,100.0,0,0,0,0,0,0,1,5,-1,OrlandoMagic
CalebHoustan,0,2,0,0,0,5,0,0,0,21,14.3,0,2,0,1,0,0,1,-3,-4,OrlandoMagic
OrlandoMagic,117,49,33,56,7,33,30,40,24,240,44.2,0,14,35,15,10,6,20,45,132,OrlandoMagic
JuliusRandle,38,12,16,21,0,4,6,8,6,36,64.0,75.0,3,9,5,0,1,5,0,41,NewYorkKnicks
JalenBrunson,20,7,4,11,0,4,12,12,8,34,26.7,100.0,0,7,3,0,1,2,-10,22,NewYorkKnicks
R.J.Barrett,19,6,6,12,1,5,4,5,2,37,41.2,80.0,2,4,2,1,0,4,-22,15,NewYorkKnicks
ImmanuelQuickley,12,1,1,3,3,7,1,1,1,28,40.0,100.0,0,1,1,0,0,4,3,7,NewYorkKnicks
IsaiahHartenstein,7,3,2,4,0,0,3,3,3,25,50.0,100.0,1,2,2,3,0,4,-18,12,NewYorkKnicks
JoshHart,5,4,1,2,1,2,0,0,0,31,50.0,0,0,4,2,0,0,2,6,5,NewYorkKnicks
QuentinGrimes,3,2,0,0,1,3,0,0,0,14,33.3,0,0,2,0,1,0,1,1,4,NewYorkKnicks
TajGibson,2,4,1,1,0,0,0,0,0,15,100.0,0,0,4,0,0,1,4,7,7,NewYorkKnicks
DonteDiVincenzo,2,1,1,2,0,5,0,0,2,20,14.3,0,0,1,1,3,1,4,-12,2,NewYorkKnicks
NewYorkKnicks,108,40,32,56,6,30,26,29,22,240,44.2,0,6,34,16,8,4,30,-45,115,NewYorkKnicks
