PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
TraeYoung,24,3,4,8,3,10,7,7,9,38,50.0,42.9,1,2,4,4,0,4,-11,25,AtlantaHawks
DejounteMurray,18,6,3,12,4,8,0,0,3,37,70.6,25.0,1,5,3,1,0,3,5,12,AtlantaHawks
JalenT.Johnson,16,15,4,8,1,4,5,6,4,35,58.3,100.0,2,13,4,0,1,2,-7,24,AtlantaHawks
SaddiqBey,15,7,1,6,3,8,4,4,4,32,60.0,100.0,5,2,1,1,0,2,5,16,AtlantaHawks
ClintCapela,12,12,5,7,0,0,2,4,3,28,33.3,0,6,6,2,1,2,1,2,24,AtlantaHawks
BogdanBogdanovic,12,4,2,4,2,10,2,2,5,27,50.0,0,2,2,1,0,0,1,-14,10,AtlantaHawks
OnyekaOkongwu,7,3,3,6,0,0,1,2,1,23,40.0,0,1,2,0,1,1,2,-11,9,AtlantaHawks
GarrisonMathews,3,1,0,0,1,2,0,0,0,8,50.0,0,0,1,0,1,0,1,7,4,AtlantaHawks
PattyMills,3,0,0,0,1,1,0,0,0,11,33.3,0,0,0,0,0,0,0,-11,3,AtlantaHawks
AtlantaHawks,110,51,22,51,15,43,21,25,29,240,0.0,100.0,18,33,15,9,4,16,-35,127,AtlantaHawks
De&#039;AaronFox,31,6,2,4,8,16,3,7,8,41,50.0,42.9,1,5,2,4,0,3,9,33,SacramentoKings
DomantasSabonis,25,10,12,17,0,0,1,4,7,35,70.6,25.0,2,8,1,0,0,2,-4,33,SacramentoKings
TreyLyles,19,6,3,3,4,9,1,1,1,25,58.3,100.0,0,6,2,0,0,3,4,19,SacramentoKings
MalikMonk,15,4,4,5,2,5,1,1,8,31,60.0,100.0,0,4,6,1,1,3,18,19,SacramentoKings
KeeganMurray,9,5,3,6,1,6,0,0,0,36,33.3,0,0,5,0,3,2,5,-3,11,SacramentoKings
KevinHuerter,7,3,2,3,1,3,0,0,1,10,50.0,0,0,3,0,0,0,0,-5,8,SacramentoKings
ChrisDuarte,5,0,1,2,1,3,0,0,4,25,40.0,0,0,0,1,1,0,1,10,6,SacramentoKings
AlexLen,2,3,1,2,0,0,0,0,4,13,50.0,0,1,2,0,0,0,0,11,8,SacramentoKings
DavionMitchell,2,1,1,2,0,1,0,0,2,13,33.3,0,1,0,0,0,0,2,-1,3,SacramentoKings
HarrisonBarnes,2,0,0,0,0,2,2,2,0,12,0.0,100.0,0,0,0,0,0,1,-4,0,SacramentoKings
SacramentoKings,117,38,29,44,17,45,8,15,35,240,51.7,0,5,33,12,9,3,20,35,140,SacramentoKings
