PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
ShaedonSharpe,24,5,5,12,4,11,2,2,2,41,39.1,100.0,4,1,3,2,0,1,-4,16,PortlandTrailBlazers
MalcolmBrogdon,18,7,4,9,2,6,4,6,1,31,40.0,66.7,2,5,2,0,0,2,-4,13,PortlandTrailBlazers
JeramiGrant,15,4,3,9,1,5,6,7,3,36,28.6,85.7,0,4,3,2,0,5,2,10,PortlandTrailBlazers
DeandreAyton,14,15,7,9,0,0,0,0,1,30,77.8,0.0,4,11,2,0,0,4,6,26,PortlandTrailBlazers
JabariWalker,9,4,1,1,1,2,4,4,0,9,66.7,100.0,1,3,0,0,0,3,1,12,PortlandTrailBlazers
ScootHenderson,7,3,2,7,1,5,0,0,2,25,25.0,0.0,2,1,5,1,0,5,-3,-1,PortlandTrailBlazers
RobertWilliams,6,3,3,5,0,0,0,0,2,20,60.0,0.0,1,2,1,0,0,2,-10,8,PortlandTrailBlazers
ToumaniCamara,2,4,0,2,0,2,2,2,3,23,0.0,100.0,1,3,0,0,0,0,2,5,PortlandTrailBlazers
SkylarMays,2,0,1,2,0,0,0,0,1,8,50.0,0.0,0,0,0,0,0,0,0,2,PortlandTrailBlazers
MatisseThybulle,0,2,0,0,0,1,0,0,0,17,0.0,0.0,0,2,0,1,1,2,-15,3,PortlandTrailBlazers
PortlandTrailBlazers,97,47,26,56,9,32,18,21,15,240,39.8,0.0,15,32,16,6,1,24,-25,94,PortlandTrailBlazers
FranzWagner,23,5,3,7,3,9,8,9,3,35,37.5,88.9,0,5,3,1,1,2,11,19,OrlandoMagic
ColeAnthony,18,4,3,8,3,7,3,6,2,28,40.0,50.0,1,3,1,0,1,3,-9,12,OrlandoMagic
MoritzWagner,17,9,7,7,1,1,0,1,1,22,100.0,0.0,4,5,1,1,1,2,-1,27,OrlandoMagic
PaoloBanchero,14,7,5,12,0,0,4,9,4,35,41.7,44.4,2,5,3,2,0,1,2,12,OrlandoMagic
JalenSuggs,11,5,4,4,0,1,3,3,2,27,80.0,100.0,0,5,1,4,2,3,3,22,OrlandoMagic
MarkelleFultz,8,2,4,6,0,2,0,0,6,25,50.0,0.0,1,1,1,0,0,0,11,11,OrlandoMagic
WendellCarter,8,9,1,4,1,3,3,4,1,26,28.6,75.0,2,7,2,0,0,1,6,10,OrlandoMagic
GaryHarris,3,1,0,2,1,3,0,0,1,19,20.0,0.0,0,1,1,0,0,0,2,0,OrlandoMagic
JonathanIsaac,0,2,0,1,0,1,0,0,1,8,0.0,0.0,0,2,0,1,0,1,-3,2,OrlandoMagic
JoeIngles,0,1,0,0,0,1,0,0,1,15,0.0,0.0,0,1,1,1,0,3,3,1,OrlandoMagic
OrlandoMagic,102,45,27,51,9,28,21,32,22,240,45.6,0.0,10,35,14,10,5,16,25,116,OrlandoMagic
