PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BrandonIngram,20,5,8,14,1,3,1,4,5,31,65.0,100.0,0,5,1,0,0,2,-10,18,NewOrleansPelicans
ZionWilliamson,18,2,7,11,0,0,4,8,4,27,61.1,80.0,1,1,6,1,0,3,-21,11,NewOrleansPelicans
DysonDaniels,17,9,4,6,3,6,0,0,4,31,28.6,100.0,2,7,3,0,0,3,-29,22,NewOrleansPelicans
JonasValanciunas,15,10,3,6,3,5,0,0,3,21,45.5,0,2,8,0,0,2,0,-13,25,NewOrleansPelicans
MattRyan,14,6,1,1,4,6,0,0,2,27,80.0,50.0,3,3,0,0,0,3,0,20,NewOrleansPelicans
JeremiahRobinson-Earl,11,6,1,3,3,5,0,0,1,26,75.0,50.0,1,5,1,1,0,2,5,14,NewOrleansPelicans
JordanHawkins,10,2,1,4,2,9,2,2,2,28,50.0,0,0,2,2,0,0,1,-28,2,NewOrleansPelicans
NajiMarshall,8,2,1,2,1,1,3,3,2,14,33.3,50.0,1,1,2,0,0,2,4,9,NewOrleansPelicans
KiraLewis,5,1,2,5,0,0,1,1,4,8,50.0,0,1,0,1,0,0,0,14,6,NewOrleansPelicans
DereonSeabron,3,3,1,1,0,0,1,2,2,8,33.3,100.0,0,3,0,0,1,2,16,8,NewOrleansPelicans
CodyZeller,3,5,1,2,0,0,1,2,2,13,100.0,0,1,4,1,0,0,1,11,7,NewOrleansPelicans
LarryNance,0,3,0,1,0,1,0,0,0,7,0.0,0,1,2,1,0,0,1,-9,0,NewOrleansPelicans
NewOrleansPelicans,124,60,30,56,17,36,13,22,31,240,0.0,0,17,43,20,2,3,20,-60,142,NewOrleansPelicans
KyrieIrving,35,6,6,10,7,10,2,2,7,29,65.0,100.0,1,5,1,0,1,1,9,41,DallasMavericks
LukaDoncic,30,4,7,9,4,9,4,5,9,28,61.1,80.0,0,4,2,1,0,0,14,34,DallasMavericks
TimHardawayJr.,15,9,1,4,3,10,4,4,2,28,28.6,100.0,0,9,0,0,0,1,14,16,DallasMavericks
JoshGreen,13,2,2,4,3,7,0,0,3,28,45.5,0,0,2,1,2,0,1,11,13,DallasMavericks
DereckLively,10,2,4,5,0,0,2,4,0,26,80.0,50.0,1,1,1,1,2,5,13,11,DallasMavericks
DwightPowell,7,10,3,4,0,0,1,2,2,18,75.0,50.0,3,7,0,1,0,4,7,18,DallasMavericks
JadenHardy,7,2,2,2,1,4,0,0,2,7,50.0,0,1,1,0,0,0,1,-3,8,DallasMavericks
DerrickJones,7,1,0,0,2,6,1,2,2,22,33.3,50.0,0,1,1,0,0,0,8,4,DallasMavericks
DanteExum,6,1,3,6,0,0,0,0,1,13,50.0,0,0,1,0,1,1,2,6,7,DallasMavericks
Olivier-MaxenceProsper,4,0,1,1,0,2,2,2,0,6,33.3,100.0,0,0,0,0,0,2,-11,2,DallasMavericks
RichaunHolmes,2,1,1,1,0,0,0,0,0,4,100.0,0,0,1,0,0,0,1,-8,3,DallasMavericks
GrantWilliams,0,2,0,2,0,2,0,0,1,22,0.0,0,1,1,0,1,2,1,19,2,DallasMavericks
MarkieffMorris,0,1,0,0,0,2,0,0,0,4,0.0,0,0,1,0,0,0,0,-8,-1,DallasMavericks
SethCurry,0,1,0,1,0,1,0,0,0,6,0.0,0,1,0,0,0,0,0,-11,-1,DallasMavericks
DallasMavericks,136,46,30,49,20,53,16,21,29,240,49.0,0,10,36,6,7,6,19,60,157,DallasMavericks
