PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DamianLillard,39,5,11,37,6-11,5-8,57.9%,12-13,92.3%,0,5,3,3,0,2,10,46,MilwaukeeBucks
GiannisAntetokounmpo,26,17,3,39,9-19,1-3,45.5%,5-11,45.5%,6,11,6,0,0,3,11,22,MilwaukeeBucks
KhrisMiddleton,20,3,2,29,6-10,1-5,46.7%,5-5,100.0%,0,3,4,0,0,3,7,13,MilwaukeeBucks
BrookLopez,18,6,0,31,3-5,3-8,46.2%,3-3,100.0%,1,5,0,0,1,2,6,18,MilwaukeeBucks
BobbyPortis,11,6,0,25,4-5,1-2,71.4%,0-0,-,4,2,0,0,0,3,7,15,MilwaukeeBucks
AndreJacksonJr.,9,6,4,36,3-3,1-3,66.7%,0-0,-,4,2,1,0,0,6,3,16,MilwaukeeBucks
PatConnaughton,5,2,4,17,1-1,1-3,50.0%,0-0,-,1,1,1,1,0,0,12,9,MilwaukeeBucks
MarJonBeauchamp,0,1,0,13,0-0,0-0,-,0-0,-,0,1,0,0,0,2,2,1,MilwaukeeBucks
ThanasisAntetokounmpo,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,MilwaukeeBucks
LindellWigginton,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,MilwaukeeBucks
A.J.Green,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,MilwaukeeBucks
MarquesBolden,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,MilwaukeeBucks
ChrisLivingston,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-3,0,MilwaukeeBucks
CameronPayne,0,0,1,11,0-0,0-4,0.0%,0-0,-,0,0,0,0,0,2,2,-3,MilwaukeeBucks
MilwaukeeBucks,128,48,25,240,32-54,13-36,50.0%,25-32,78.1%  ,17,31,15,4,1,23,45,137,MilwaukeeBucks
FredVanVleet,22,2,6,39,4-8,4-8,50.0%,2-2,100.0%,1,1,1,1,2,2,-6,24,HoustonRockets
AlperenSengun,20,8,5,31,8-12,0-3,53.3%,4-6,66.7%,2,6,0,1,1,4,-7,26,HoustonRockets
DillonBrooks,18,4,1,35,5-8,2-4,58.3%,2-2,100.0%,1,3,2,2,0,4,-15,18,HoustonRockets
JalenGreen,16,2,7,29,4-7,2-4,54.5%,2-2,100.0%,0,2,1,0,0,0,-8,19,HoustonRockets
JabariSmithJr.,16,5,2,28,6-9,1-4,53.8%,1-1,100.0%,0,5,0,0,1,5,-4,18,HoustonRockets
JeffGreen,16,0,1,17,3-4,1-1,80.0%,7-8,87.5%,0,0,1,0,0,0,-2,14,HoustonRockets
TariEason,11,6,1,30,4-6,1-2,62.5%,0-0,-,0,6,0,2,0,2,-4,17,HoustonRockets
Jae&#039;SeanTate,0,3,1,19,0-2,0-0,0.0%,0-0,-,2,1,2,1,0,2,4,1,HoustonRockets
AaronHoliday,0,1,2,13,0-2,0-1,0.0%,0-0,-,0,1,2,1,0,2,-3,-1,HoustonRockets
HoustonRockets,119,35,26,240,34-58,11-27,52.9%,18-21,85.7%  ,8,27,9,8,4,21,-45,136,HoustonRockets
