PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnferneeSimons,33,8,6,35,11-14,2-8,59.1%,5-5,100.0%,2,6,3,2,0,2,4,37,PortlandTrailBlazers
JeramiGrant,27,5,1,38,11-16,1-4,60.0%,2-3,66.7%,1,4,0,0,0,2,-8,24,PortlandTrailBlazers
ScootHenderson,13,3,2,24,4-9,1-1,50.0%,2-2,100.0%,0,3,3,0,1,3,-8,11,PortlandTrailBlazers
DuopReath,11,5,1,15,3-6,0-3,33.3%,5-5,100.0%,3,2,0,0,0,0,-8,11,PortlandTrailBlazers
MalcolmBrogdon,9,2,2,24,3-3,1-4,57.1%,0-0,-,0,2,1,1,0,4,-23,10,PortlandTrailBlazers
ToumaniCamara,8,3,1,20,3-3,0-4,42.9%,2-2,100.0%,0,3,0,1,0,3,7,9,PortlandTrailBlazers
DeandreAyton,7,10,2,27,3-5,0-0,60.0%,1-2,50.0%,3,7,1,2,0,3,1,17,PortlandTrailBlazers
ShaedonSharpe,7,2,2,32,1-4,1-3,28.6%,2-3,66.7%,0,2,2,0,0,4,0,3,PortlandTrailBlazers
MatisseThybulle,5,4,0,19,1-2,1-4,33.3%,0-0,-,1,3,1,2,1,0,-18,7,PortlandTrailBlazers
JabariWalker,0,2,0,5,0-0,0-1,0.0%,0-0,-,0,2,0,0,0,0,-2,1,PortlandTrailBlazers
PortlandTrailBlazers,120,46,17,240,40-62,7-32,50.0%,19-22,86.4%  ,11,35,14,8,2,22,-55,130,PortlandTrailBlazers
LukaDoncic,40,12,10,37,11-16,4-12,53.6%,6-6,100.0%,2,10,4,1,0,3,-4,46,DallasMavericks
TimHardawayJr.,25,6,1,36,3-6,5-15,38.1%,4-4,100.0%,0,6,1,1,0,0,12,19,DallasMavericks
DanteExum,18,2,3,27,7-9,1-2,72.7%,1-1,100.0%,0,2,2,1,0,3,14,19,DallasMavericks
DerrickJones,18,1,4,33,4-5,2-6,54.5%,4-5,80.0%,1,0,1,2,0,1,-3,18,DallasMavericks
MarkieffMorris,10,5,4,20,2-4,2-5,44.4%,0-0,-,0,5,2,1,0,0,8,13,DallasMavericks
SethCurry,7,2,1,14,0-3,2-3,33.3%,1-1,100.0%,0,2,1,0,0,3,19,5,DallasMavericks
DwightPowell,6,5,0,22,2-3,0-0,66.7%,2-3,66.7%,4,1,0,0,1,2,7,10,DallasMavericks
JadenHardy,4,3,0,6,2-2,0-0,100.0%,0-0,-,0,3,0,0,0,1,5,7,DallasMavericks
GrantWilliams,3,4,3,31,1-1,0-3,25.0%,1-1,100.0%,1,3,1,1,1,4,-2,8,DallasMavericks
Olivier-MaxenceProsper,0,5,1,6,0-0,0-1,0.0%,0-0,-,2,3,0,0,0,0,3,5,DallasMavericks
DereckLively,0,2,0,6,0-1,0-0,0.0%,0-0,-,1,1,0,0,0,0,-4,1,DallasMavericks
A.J.Lawson,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,DallasMavericks
GregBrownIII,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,DallasMavericks
DallasMavericks,131,51,27,240,32-50,16-47,49.5%,19-21,90.5%  ,11,40,12,7,2,17,55,151,DallasMavericks
