PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,23,7,6,34,6-11,1-9,35.0%,8-8,100.0%,3,4,1,4,0,1,1,26,ClevelandCavaliers
EvanMobley,20,8,3,34,9-13,0-1,64.3%,2-2,100.0%,2,6,3,2,0,1,3,25,ClevelandCavaliers
DariusGarland,15,4,7,37,4-10,2-8,33.3%,1-1,100.0%,1,3,8,1,0,0,2,7,ClevelandCavaliers
JarrettAllen,12,10,2,38,6-9,0-0,66.7%,0-0,-,6,4,1,0,2,3,-3,22,ClevelandCavaliers
MaxStrus,9,3,3,36,3-5,1-6,36.4%,0-0,-,0,3,2,2,0,6,-10,8,ClevelandCavaliers
GeorgesNiang,8,1,2,19,2-3,1-3,50.0%,1-1,100.0%,1,0,0,2,0,0,-4,10,ClevelandCavaliers
CarisLeVert,5,2,2,26,1-5,1-4,22.2%,0-0,-,1,1,2,0,0,3,-17,0,ClevelandCavaliers
IsaacOkoro,3,0,0,17,0-1,1-1,50.0%,0-0,-,0,0,0,1,0,1,-12,3,ClevelandCavaliers
ClevelandCavaliers,95,35,25,240,31-57,7-32,42.7%,12-12,100.0%  ,14,21,17,12,2,15,-40,101,ClevelandCavaliers
ShaedonSharpe,29,10,5,39,7-8,4-7,73.3%,3-3,100.0%,0,10,5,1,0,3,10,36,PortlandTrailBlazers
DuopReath,13,2,2,18,1-1,3-4,80.0%,2-2,100.0%,1,1,1,1,1,2,14,17,PortlandTrailBlazers
JeramiGrant,13,2,3,28,1-6,3-6,33.3%,2-2,100.0%,0,2,3,2,1,4,6,10,PortlandTrailBlazers
MalcolmBrogdon,11,3,7,31,2-4,1-3,42.9%,4-4,100.0%,2,1,5,2,1,0,-9,15,PortlandTrailBlazers
DeandreAyton,10,6,3,30,5-9,0-0,55.6%,0-0,-,2,4,3,0,0,2,-6,12,PortlandTrailBlazers
MatisseThybulle,10,2,0,24,2-3,2-5,50.0%,0-0,-,1,1,0,1,0,1,10,9,PortlandTrailBlazers
ToumaniCamara,9,2,1,24,3-3,1-3,66.7%,0-0,-,1,1,1,2,1,0,-2,12,PortlandTrailBlazers
JabariWalker,6,12,1,24,3-5,0-2,42.9%,0-0,-,2,10,1,1,0,3,5,15,PortlandTrailBlazers
ScootHenderson,2,1,7,22,1-3,0-5,12.5%,0-0,-,0,1,3,0,0,2,12,0,PortlandTrailBlazers
PortlandTrailBlazers,103,40,29,240,25-42,14-35,50.6%,11-11,100.0%  ,9,31,22,10,4,17,40,126,PortlandTrailBlazers
