PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,27,3,6,32,7-10,4-7,64.7%,1-1,100.0%,0,3,4,3,0,2,23,29,LAClippers
KawhiLeonard,23,5,6,29,4-12,5-5,52.9%,0-0,-,1,4,4,1,1,2,25,24,LAClippers
IvicaZubac,20,12,0,26,8-10,0-0,80.0%,4-5,80.0%,5,7,2,0,4,3,25,31,LAClippers
BonesHyland,17,0,3,22,3-3,3-8,54.5%,2-2,100.0%,0,0,2,0,0,4,-4,13,LAClippers
RussellWestbrook,11,5,13,29,4-6,1-2,62.5%,0-0,-,2,3,3,0,0,3,30,23,LAClippers
NormanPowell,8,3,1,23,0-1,2-5,33.3%,2-2,100.0%,0,3,2,0,0,0,-4,6,LAClippers
MasonPlumlee,6,8,2,18,2-4,0-0,50.0%,2-4,50.0%,3,5,0,0,0,0,-6,12,LAClippers
RobertCovington,5,4,2,23,1-1,1-4,40.0%,0-0,-,1,3,0,3,1,2,26,12,LAClippers
MoussaDiabate,2,1,0,4,1-3,0-0,33.3%,0-0,-,1,0,0,2,0,0,-10,3,LAClippers
AmirCoffey,2,0,1,4,0-1,0-0,0.0%,2-2,100.0%,0,0,0,0,0,0,-7,2,LAClippers
JordanMiller,2,0,0,4,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,-7,1,LAClippers
NicolasBatum,0,3,1,9,0-0,0-0,-,0-0,-,0,3,0,1,1,0,-2,6,LAClippers
KenyonMartin,0,1,1,14,0-2,0-2,0.0%,0-0,-,1,0,0,1,0,2,-17,-1,LAClippers
KobeBrown,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,1,-12,-2,LAClippers
LAClippers,123,45,36,240,31-56,16-34,52.2%,13-16,81.3%  ,14,31,17,11,7,20,60,159,LAClippers
MalcolmBrogdon,20,2,5,23,5-11,3-5,50.0%,1-1,100.0%,0,2,1,0,0,0,-5,18,PortlandTrailBlazers
AnferneeSimons,18,2,4,27,4-8,2-6,42.9%,4-4,100.0%,1,1,0,2,0,2,-27,18,PortlandTrailBlazers
ShaedonSharpe,14,6,3,28,5-8,1-6,42.9%,1-1,100.0%,4,2,0,1,0,4,10,16,PortlandTrailBlazers
JeramiGrant,13,3,1,30,5-8,0-4,41.7%,3-4,75.0%,2,1,3,0,1,1,-22,7,PortlandTrailBlazers
ScootHenderson,11,3,4,36,5-8,0-3,45.5%,1-1,100.0%,1,2,4,0,0,2,-16,8,PortlandTrailBlazers
RobertWilliams,10,7,0,23,5-7,0-0,71.4%,0-1,0.0%,2,5,2,3,1,4,-23,16,PortlandTrailBlazers
MatisseThybulle,8,1,1,20,1-1,2-6,42.9%,0-0,-,1,0,2,1,0,0,-12,5,PortlandTrailBlazers
ToumaniCamara,7,2,1,16,0-3,2-2,40.0%,1-2,50.0%,0,2,0,0,1,2,13,7,PortlandTrailBlazers
JabariWalker,6,1,0,6,2-3,0-0,66.7%,2-3,66.7%,1,0,2,0,0,0,12,3,PortlandTrailBlazers
DeandreAyton,4,12,1,23,2-4,0-0,50.0%,0-0,-,3,9,3,3,1,5,-5,16,PortlandTrailBlazers
KrisMurray,0,1,0,5,0-0,0-0,-,0-0,-,0,1,0,0,0,0,12,1,PortlandTrailBlazers
RayanRupert,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,3,0,PortlandTrailBlazers
PortlandTrailBlazers,111,40,20,240,34-61,10-32,47.3%,13-17,76.5%  ,15,25,17,10,4,20,-60,115,PortlandTrailBlazers
