PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KlayThompson,25,0,5,8,5,7,0,0,3,28,5-8,5-7,66.7,0-0,0,0,0,2,0,0,0,-16,21,GoldenStateWarriors
MosesMoody,21,3,3,3,4,6,3,3,1,22,3-3,4-6,77.8,3-3,100.0,0,3,1,1,0,1,-2,23,GoldenStateWarriors
TrayceJackson-Davis,16,11,8,9,0,0,0,0,2,27,8-9,0-0,88.9,0-0,0,3,8,0,0,3,0,-3,31,GoldenStateWarriors
JonathanKuminga,13,4,4,8,1,5,2,2,4,25,4-8,1-5,38.5,2-2,100.0,1,3,1,1,1,0,-5,14,GoldenStateWarriors
DarioSaric,11,5,2,5,2,5,1,1,4,18,2-5,2-5,40.0,1-1,100.0,2,3,0,2,0,1,-4,16,GoldenStateWarriors
KevonLooney,10,7,4,6,0,0,2,2,2,17,4-6,0-0,66.7,2-2,100.0,7,0,1,0,0,2,-7,16,GoldenStateWarriors
StephenCurry,9,1,2,5,0,9,5,5,6,30,2-5,0-9,14.3,5-5,100.0,0,1,2,0,0,3,-17,2,GoldenStateWarriors
BrandinPodziemski,5,8,1,3,1,8,0,0,4,29,1-3,1-8,18.2,0-0,0,2,6,0,0,0,1,-9,8,GoldenStateWarriors
LesterQuinones,5,1,1,1,1,2,0,0,0,7,1-1,1-2,66.7,0-0,0,0,1,1,1,0,1,10,5,GoldenStateWarriors
AndrewWiggins,3,2,1,4,0,2,1,2,1,17,1-4,0-2,16.7,1-2,50.0,0,2,1,0,0,0,-29,-1,GoldenStateWarriors
JeromeRobinson,0,1,0,1,0,1,0,0,1,7,0-1,0-1,0.0,0-0,0,0,1,0,0,0,1,10,0,GoldenStateWarriors
CoryJoseph,0,0,0,1,0,1,0,0,2,14,0-1,0-1,0.0,0-0,0,0,0,1,0,0,1,-3,-1,GoldenStateWarriors
GoldenStateWarriors,118,43,31,54,14,46,14,15,30,240,31-54,14-46,45.0,14-15,0,15,28,10,5,4,11,-75,134,GoldenStateWarriors
R.J.Barrett,37,6,8,12,5,8,6,8,6,36,8-12,5-8,65.0,6-8,75.0,0,6,0,1,0,3,26,41,TorontoRaptors
ChrisBoucher,17,9,4,4,3,3,0,0,1,16,4-4,3-3,100.0,0-0,0,2,7,0,1,1,0,17,29,TorontoRaptors
PascalSiakam,16,6,5,8,2,3,0,0,6,30,5-8,2-3,63.6,0-0,0,1,5,1,0,2,0,5,25,TorontoRaptors
JakobPoeltl,14,11,6,8,0,0,2,5,5,31,6-8,0-0,75.0,2-5,40.0,3,8,2,0,0,3,21,23,TorontoRaptors
GaryTrentJr.,14,1,4,6,2,5,0,0,1,26,4-6,2-5,54.5,0-0,0,0,1,0,2,1,1,10,14,TorontoRaptors
DennisSchroder,13,3,5,7,1,3,0,1,4,28,5-7,1-3,60.0,0-1,0.0,0,3,0,0,0,5,14,15,TorontoRaptors
ImmanuelQuickley,9,5,3,6,1,4,0,0,10,26,3-6,1-4,40.0,0-0,0,1,4,0,1,0,0,4,19,TorontoRaptors
ScottieBarnes,6,2,3,7,0,4,0,0,3,24,3-7,0-4,27.3,0-0,0,1,1,2,1,1,1,3,3,TorontoRaptors
ThaddeusYoung,3,0,0,1,1,1,0,0,0,4,0-1,1-1,50.0,0-0,0,0,0,1,0,0,0,-5,1,TorontoRaptors
JontayPorter,2,2,1,1,0,2,0,0,1,12,1-1,0-2,33.3,0-0,0,1,1,0,1,1,1,-10,5,TorontoRaptors
GarrettTemple,2,0,1,1,0,0,0,0,0,4,1-1,0-0,100.0,0-0,0,0,0,1,0,0,0,-5,1,TorontoRaptors
JalenMcDaniels,0,0,0,0,0,0,0,0,1,4,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-5,1,TorontoRaptors
TorontoRaptors,133,45,40,61,15,33,8,14,38,240,40-61,15-33,58.5,8-14,0,9,36,7,7,6,14,75,177,TorontoRaptors
