PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyDavis,27,15,9,16,0,1,9,10,5,38,9-16,0-1,52.9,9-10,90.0,3,12,2,2,1,3,8,39,LosAngelesLakers
LeBronJames,25,7,11,18,1,2,0,1,6,39,11-18,1-2,60.0,0-1,0.0,0,7,5,0,0,1,2,24,LosAngelesLakers
AustinReaves,15,3,5,7,1,3,2,2,7,33,5-7,1-3,60.0,2-2,100.0,0,3,2,0,1,0,9,20,LosAngelesLakers
D&#039;AngeloRussell,14,2,3,5,2,7,2,2,6,36,3-5,2-7,41.7,2-2,100.0,1,1,5,2,1,2,3,13,LosAngelesLakers
RuiHachimura,12,3,3,5,2,3,0,0,0,20,3-5,2-3,62.5,0-0,0,1,2,1,0,2,1,6,13,LosAngelesLakers
ChristianWood,11,7,3,5,1,2,2,2,1,14,3-5,1-2,57.1,2-2,100.0,2,5,1,0,3,2,-2,18,LosAngelesLakers
JarredVanderbilt,5,4,2,2,0,0,1,1,2,18,2-2,0-0,100.0,1-1,100.0,0,4,0,3,0,0,5,14,LosAngelesLakers
TaureanPrince,3,2,0,1,1,5,0,0,3,31,0-1,1-5,16.7,0-0,0,0,2,0,0,1,2,-1,4,LosAngelesLakers
MaxChristie,0,1,0,1,0,1,0,0,0,11,0-1,0-1,0.0,0-0,0,1,0,1,0,0,1,5,-2,LosAngelesLakers
LosAngelesLakers,112,46,36,60,8,24,16,18,30,240,36-60,8-24,52.4,16-18,0,9,37,17,7,9,12,35,143,LosAngelesLakers
JalenWilliams,25,3,8,14,2,4,3,4,6,35,8-14,2-4,55.6,3-4,75.0,2,1,1,3,0,1,1,27,OklahomaCityThunder
ShaiGilgeous-Alexander,24,3,8,13,1,6,5,5,6,34,8-13,1-6,47.4,5-5,100.0,0,3,3,1,1,3,-12,22,OklahomaCityThunder
LuguentzDort,11,7,1,1,3,8,0,0,1,29,1-1,3-8,44.4,0-0,0,4,3,1,1,0,2,-2,14,OklahomaCityThunder
ChetHolmgren,9,8,3,5,1,4,0,0,4,30,3-5,1-4,44.4,0-0,0,1,7,3,1,3,5,-8,17,OklahomaCityThunder
JoshGiddey,8,5,0,3,2,5,2,2,3,22,0-3,2-5,25.0,2-2,100.0,2,3,0,0,1,1,-6,11,OklahomaCityThunder
VasilijeMicic,6,1,0,2,2,2,0,0,1,15,0-2,2-2,50.0,0-0,0,0,1,0,0,0,2,4,6,OklahomaCityThunder
KenrichWilliams,5,2,1,2,1,3,0,0,0,17,1-2,1-3,40.0,0-0,0,0,2,0,1,0,1,3,5,OklahomaCityThunder
OusmaneDieng,5,3,1,1,1,4,0,0,0,12,1-1,1-4,40.0,0-0,0,1,2,1,0,0,2,-6,4,OklahomaCityThunder
CasonWallace,5,0,1,2,1,4,0,0,1,20,1-2,1-4,33.3,0-0,0,0,0,1,2,1,0,-7,4,OklahomaCityThunder
IsaiahJoe,4,7,2,4,0,6,0,0,1,20,2-4,0-6,20.0,0-0,0,2,5,1,2,0,1,4,5,OklahomaCityThunder
JaylinWilliams,3,1,0,0,1,3,0,0,0,6,0-0,1-3,33.3,0-0,0,1,0,0,0,0,0,-6,2,OklahomaCityThunder
OklahomaCityThunder,105,47,25,47,15,49,10,11,23,240,25-47,15-49,41.7,10-11,0,18,29,11,11,6,18,-35,117,OklahomaCityThunder
