PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JaysonTatum,30,6,4,39,9-13,2-9,50.0%,6-9,66.7%,0,6,2,0,0,3,14,24,BostonCeltics
PaytonPritchard,21,3,5,28,1-3,6-7,70.0%,1-2,50.0%,1,2,0,1,0,4,8,26,BostonCeltics
DerrickWhite,19,4,8,30,4-8,3-7,46.7%,2-2,100.0%,1,3,1,4,1,0,13,27,BostonCeltics
JaylenBrown,18,3,4,30,8-10,0-5,53.3%,2-3,66.7%,0,3,2,0,1,0,20,16,BostonCeltics
SamHauser,11,7,4,32,1-2,3-6,50.0%,0-0,-,2,5,1,4,0,1,19,21,BostonCeltics
OshaeBrissett,11,1,1,16,3-3,1-1,100.0%,2-2,100.0%,1,0,2,0,0,4,-3,11,BostonCeltics
LamarStevens,8,3,0,14,2-4,1-3,42.9%,1-2,50.0%,1,2,1,2,1,2,-7,8,BostonCeltics
JrueHoliday,6,4,4,28,0-4,2-3,28.6%,0-0,-,1,3,0,2,1,2,12,12,BostonCeltics
NeemiasQueta,4,3,1,18,2-3,0-0,66.7%,0-0,-,2,1,1,1,3,6,13,10,BostonCeltics
SviatoslavMykhailiuk,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,-4,-1,BostonCeltics
BostonCeltics,128,38,31,240,30-50,18-42,52.2%,14-20,70.0%  ,12,26,10,14,7,22,85,154,BostonCeltics
JalenSuggs,19,4,1,26,2-3,5-9,58.3%,0-0,-,0,4,1,0,1,2,-9,19,OrlandoMagic
ColeAnthony,17,0,4,20,3-5,2-3,62.5%,5-6,83.3%,0,0,1,1,0,3,-12,17,OrlandoMagic
FranzWagner,17,5,5,34,5-10,1-4,42.9%,4-4,100.0%,0,5,6,2,0,4,-9,15,OrlandoMagic
GogaBitadze,15,11,1,27,7-8,0-0,87.5%,1-2,50.0%,5,6,4,0,0,2,-1,21,OrlandoMagic
PaoloBanchero,14,4,5,32,4-13,1-4,29.4%,3-6,50.0%,1,3,5,0,1,1,-13,4,OrlandoMagic
AnthonyBlack,13,9,4,28,2-3,3-5,62.5%,0-0,-,3,6,0,0,0,2,0,23,OrlandoMagic
JonathanIsaac,7,4,0,16,2-3,1-2,60.0%,0-0,-,1,3,0,0,0,1,-13,9,OrlandoMagic
CalebHoustan,5,2,1,11,1-1,1-4,40.0%,0-0,-,1,1,0,0,0,0,-6,5,OrlandoMagic
GaryHarris,2,0,0,16,1-1,0-2,33.3%,0-0,-,0,0,0,2,0,3,-10,2,OrlandoMagic
MoritzWagner,2,1,2,13,1-2,0-1,33.3%,0-0,-,1,0,3,0,0,3,-9,0,OrlandoMagic
JoeIngles,0,2,2,6,0-1,0-0,0.0%,0-0,-,1,1,0,0,0,0,-12,3,OrlandoMagic
AdmiralSchofield,0,2,0,3,0-1,0-0,0.0%,0-0,-,0,2,1,0,0,1,3,0,OrlandoMagic
JettHoward,0,1,0,3,0-0,0-1,0.0%,0-0,-,0,1,0,0,0,0,3,0,OrlandoMagic
ChumaOkeke,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,3,-1,OrlandoMagic
OrlandoMagic,111,48,25,240,28-52,14-35,48.3%,13-18,72.2%  ,15,33,24,5,2,22,-85,117,OrlandoMagic
