PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CamWhitmore,25,6,7,10,3,7,2,2,1,21,7-10,3-7,58.8,2-2,100.0,3,3,2,2,0,1,22,25,HoustonRockets
AlperenSengun,24,13,9,12,1,2,3,3,8,29,9-12,1-2,71.4,3-3,100.0,1,12,2,0,0,4,23,39,HoustonRockets
AmenThompson,19,7,9,10,0,1,1,2,4,24,9-10,0-1,81.8,1-2,50.0,1,6,2,2,1,3,27,28,HoustonRockets
JalenGreen,14,4,7,10,0,4,0,1,3,27,7-10,0-4,50.0,0-1,0.0,0,4,1,0,0,1,17,12,HoustonRockets
JabariSmithJr.,11,3,2,4,2,5,1,1,1,24,2-4,2-5,44.4,1-1,100.0,1,2,1,0,0,0,8,9,HoustonRockets
FredVanVleet,10,2,2,3,2,4,0,0,6,25,2-3,2-4,57.1,0-0,0,0,2,1,0,1,3,13,15,HoustonRockets
JeffGreen,8,3,2,2,0,0,4,4,1,15,2-2,0-0,100.0,4-4,100.0,0,3,2,1,0,3,5,11,HoustonRockets
BobanMarjanovic,6,4,2,2,0,0,2,2,0,4,2-2,0-0,100.0,2-2,100.0,1,3,1,0,0,0,1,9,HoustonRockets
DillonBrooks,6,5,1,4,1,2,1,2,0,24,1-4,1-2,33.3,1-2,50.0,0,5,0,0,1,1,11,7,HoustonRockets
ReggieBullock,3,1,0,1,1,3,0,0,1,10,0-1,1-3,25.0,0-0,0,0,1,0,1,0,0,3,3,HoustonRockets
AaronHoliday,3,0,0,0,1,2,0,0,2,12,0-0,1-2,50.0,0-0,0,0,0,2,1,0,1,-1,3,HoustonRockets
Jae&#039;SeanTate,2,1,1,2,0,0,0,0,3,17,1-2,0-0,50.0,0-0,0,0,1,0,1,0,2,14,6,HoustonRockets
NateHinton,2,0,1,1,0,1,0,0,0,4,1-1,0-1,50.0,0-0,0,0,0,0,1,0,0,1,2,HoustonRockets
JermaineSamuels,2,0,1,1,0,0,0,0,0,4,1-1,0-0,100.0,0-0,0,0,0,0,0,0,1,1,2,HoustonRockets
HoustonRockets,135,54,44,62,11,31,14,17,30,240,44-62,11-31,59.1,14-17,0,8,46,15,9,3,20,145,171,HoustonRockets
ScottieBarnes,28,7,9,15,1,2,7,8,4,33,9-15,1-2,58.8,7-8,87.5,3,4,1,1,0,1,-10,31,TorontoRaptors
ImmanuelQuickley,25,1,1,5,6,11,5,7,6,30,1-5,6-11,43.8,5-7,71.4,0,1,0,0,0,2,-6,21,TorontoRaptors
GaryTrentJr.,12,4,3,7,2,5,0,0,0,26,3-7,2-5,41.7,0-0,0,2,2,1,2,0,1,-17,10,TorontoRaptors
ThaddeusYoung,8,4,4,4,0,0,0,1,1,25,4-4,0-0,100.0,0-1,0.0,1,3,2,0,0,2,-10,10,TorontoRaptors
JordanNwora,8,1,3,4,0,1,2,2,0,16,3-4,0-1,60.0,2-2,100.0,0,1,0,2,1,2,-21,10,TorontoRaptors
DennisSchroder,8,2,4,5,0,5,0,0,1,22,4-5,0-5,40.0,0-0,0,0,2,1,1,0,1,-18,5,TorontoRaptors
JakobPoeltl,6,5,3,5,0,0,0,0,1,20,3-5,0-0,60.0,0-0,0,0,5,3,0,2,6,-17,9,TorontoRaptors
BruceBrown,5,5,1,7,1,2,0,0,4,26,1-7,1-2,22.2,0-0,0,1,4,1,2,2,1,-13,10,TorontoRaptors
GradeyDick,3,7,1,4,0,4,1,2,0,24,1-4,0-4,12.5,1-2,50.0,1,6,1,3,0,1,-19,4,TorontoRaptors
JalenMcDaniels,3,1,0,1,1,2,0,0,0,14,0-1,1-2,33.3,0-0,0,0,1,4,0,0,1,-13,-2,TorontoRaptors
GarrettTemple,0,0,0,1,0,1,0,0,0,4,0-1,0-1,0.0,0-0,0,0,0,0,0,0,0,-1,-2,TorontoRaptors
TorontoRaptors,106,41,29,58,11,33,15,20,17,240,29-58,11-33,44.0,15-20,0,10,31,15,11,5,18,-145,106,TorontoRaptors
