PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MylesTurner,28,8,4,9,6,8,2,3,2,31,4-9,6-8,58.8,2-3,66.7,1,7,1,0,0,0,17,29,IndianaPacers
AaronNesmith,25,1,1,2,7,11,2,2,2,31,1-2,7-11,61.5,2-2,100.0,0,1,2,1,0,2,10,22,IndianaPacers
TyreseHaliburton,22,5,6,7,2,9,4,4,23,36,6-7,2-9,50.0,4-4,100.0,1,4,2,2,1,0,19,43,IndianaPacers
BennedictMathurin,20,0,4,5,3,5,3,3,0,26,4-5,3-5,70.0,3-3,100.0,0,0,2,0,0,0,11,15,IndianaPacers
AndrewNembhard,14,5,3,6,2,4,2,2,5,33,3-6,2-4,50.0,2-2,100.0,3,2,4,2,0,4,20,17,IndianaPacers
ObiToppin,9,8,3,5,1,1,0,1,2,20,3-5,1-1,66.7,0-1,0.0,2,6,0,0,3,4,2,19,IndianaPacers
JalenSmith,9,4,2,3,1,2,2,4,2,21,2-3,1-2,60.0,2-4,50.0,0,4,1,0,2,5,3,12,IndianaPacers
BuddyHield,6,2,1,1,1,2,1,1,1,18,1-1,1-2,66.7,1-1,100.0,0,2,1,1,0,1,4,8,IndianaPacers
T.J.McConnell,5,0,2,3,0,0,1,1,3,12,2-3,0-0,66.7,1-1,100.0,0,0,2,0,0,0,-5,5,IndianaPacers
IsaiahJackson,2,1,1,1,0,0,0,0,0,9,1-1,0-0,100.0,0-0,0,0,1,1,0,1,2,-2,3,IndianaPacers
BenSheppard,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-3,0,IndianaPacers
JordanNwora,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-3,0,IndianaPacers
JaraceWalker,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-3,0,IndianaPacers
IndianaPacers,140,36,27,42,23,42,17,21,40,240,27-42,23-42,59.5,17-21,0,7,29,16,6,7,18,70,173,IndianaPacers
DonteDiVincenzo,38,6,8,10,7,11,1,1,2,36,8-10,7-11,71.4,1-1,100.0,2,4,1,4,1,2,-17,44,NewYorkKnicks
JuliusRandle,28,12,8,17,1,5,9,13,4,39,8-17,1-5,40.9,9-13,69.2,6,6,5,0,0,1,-6,22,NewYorkKnicks
JalenBrunson,28,1,5,14,4,8,6,9,6,41,5-14,4-8,40.9,6-9,66.7,0,1,4,0,1,3,-17,16,NewYorkKnicks
JoshHart,10,10,3,7,1,2,1,2,1,38,3-7,1-2,44.4,1-2,50.0,3,7,0,1,0,3,-19,16,NewYorkKnicks
EvanFournier,10,2,1,2,2,8,2,2,2,17,1-2,2-8,30.0,2-2,100.0,0,2,1,3,0,0,-13,9,NewYorkKnicks
MilesMcBride,5,0,1,1,1,2,0,0,1,18,1-1,1-2,66.7,0-0,0,0,0,0,0,0,3,7,5,NewYorkKnicks
CharlesBrown,3,0,0,1,1,1,0,0,0,1,0-1,1-1,50.0,0-0,0,0,0,0,0,0,0,3,2,NewYorkKnicks
IsaiahHartenstein,2,9,1,3,0,0,0,0,6,33,1-3,0-0,33.3,0-0,0,2,7,1,4,0,3,-4,18,NewYorkKnicks
TajGibson,2,2,1,3,0,0,0,0,1,14,1-3,0-0,33.3,0-0,0,2,0,1,0,0,4,-13,2,NewYorkKnicks
JacobToppin,0,0,0,0,0,0,0,0,1,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,3,1,NewYorkKnicks
RyanArcidiacono,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,3,0,NewYorkKnicks
DmytroSkapintsev,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,3,0,NewYorkKnicks
NewYorkKnicks,126,44,28,58,17,37,19,27,24,240,28-58,17-37,47.4,19-27,0,17,27,14,12,2,19,-70,135,NewYorkKnicks
