PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JarenJacksonJr.,21,9,7,10,2,2,1,2,2,28,7-10,2-2,75.0,1-2,50.0,2,7,1,0,3,5,-1,30,MemphisGrizzlies
MarcusSmart,20,2,4,6,3,7,3,3,5,31,4-6,3-7,53.8,3-3,100.0,1,1,2,5,0,3,-6,24,MemphisGrizzlies
DerrickRose,16,4,4,11,2,3,2,2,3,22,4-11,2-3,42.9,2-2,100.0,2,2,3,1,0,2,-1,13,MemphisGrizzlies
DesmondBane,15,3,3,7,1,10,6,6,3,32,3-7,1-10,23.5,6-6,100.0,1,2,2,2,0,3,-8,8,MemphisGrizzlies
XavierTillman,13,8,4,6,1,3,2,4,2,34,4-6,1-3,55.6,2-4,50.0,2,6,5,3,2,5,-5,17,MemphisGrizzlies
ZiaireWilliams,11,9,3,7,0,3,5,5,3,31,3-7,0-3,30.0,5-5,100.0,2,7,4,0,0,0,0,12,MemphisGrizzlies
JakeLaRavia,6,5,1,1,1,2,1,2,0,16,1-1,1-2,66.7,1-2,50.0,3,2,2,0,0,1,6,7,MemphisGrizzlies
JohnKonchar,2,6,1,1,0,1,0,0,2,30,1-1,0-1,50.0,0-0,0,0,6,0,1,2,1,3,12,MemphisGrizzlies
DavidRoddy,0,2,0,2,0,2,0,0,2,15,0-2,0-2,0.0,0-0,0,0,2,2,1,0,3,-8,-1,MemphisGrizzlies
MemphisGrizzlies,104,48,27,51,10,33,20,24,22,240,27-51,10-33,44.0,20-24,0,13,35,21,13,7,23,-20,122,MemphisGrizzlies
NikolaJokic,22,12,7,10,1,4,5,6,7,35,7-10,1-4,57.1,5-6,83.3,3,9,9,1,1,1,6,27,DenverNuggets
JamalMurray,22,1,3,8,4,9,4,4,5,34,3-8,4-9,41.2,4-4,100.0,0,1,3,0,1,2,8,16,DenverNuggets
ReggieJackson,16,2,5,8,2,5,0,0,6,22,5-8,2-5,53.8,0-0,0,0,2,0,0,0,0,-4,18,DenverNuggets
AaronGordon,10,2,5,10,0,1,0,1,3,30,5-10,0-1,45.5,0-1,0.0,1,1,1,3,1,3,8,11,DenverNuggets
MichaelPorter,9,13,1,2,2,5,1,1,2,29,1-2,2-5,42.9,1-1,100.0,1,12,1,0,0,4,4,19,DenverNuggets
PeytonWatson,9,3,1,1,2,3,1,2,0,18,1-1,2-3,75.0,1-2,50.0,0,3,1,1,3,3,-4,13,DenverNuggets
KentaviousCaldwell-Pope,8,2,1,4,2,6,0,0,2,35,1-4,2-6,30.0,0-0,0,0,2,0,5,1,1,6,11,DenverNuggets
ZekeNnaji,7,0,3,4,0,0,1,2,0,13,3-4,0-0,75.0,1-2,50.0,0,0,1,1,2,1,-2,7,DenverNuggets
ChristianBraun,5,4,1,2,1,4,0,2,2,19,1-2,1-4,33.3,0-2,0.0,1,3,1,1,0,1,0,5,DenverNuggets
JulianStrawther,0,0,0,2,0,0,0,0,0,5,0-2,0-0,0.0,0-0,0,0,0,0,0,0,2,-2,-2,DenverNuggets
DenverNuggets,108,39,27,51,14,37,12,18,27,240,27-51,14-37,46.6,12-18,0,6,33,17,12,9,18,20,125,DenverNuggets
