PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KillianHayes,23,5,6,11,2,6,5,7,6,39,47.1,71.4,0,5,2,2,0,1,-9,23,DetroitPistons
CadeCunningham,21,4,7,13,1,5,4,4,7,36,44.4,100.0,1,3,4,0,0,5,-5,18,DetroitPistons
AusarThompson,12,13,6,10,0,1,0,1,4,32,54.5,0.0,3,10,2,1,3,4,2,25,DetroitPistons
StanleyUmude,10,4,0,0,1,2,7,8,1,17,50.0,87.5,0,4,0,0,0,2,-2,13,DetroitPistons
IsaiahStewart,10,6,2,5,2,5,0,0,2,32,40.0,0.0,1,5,3,0,1,5,-16,10,DetroitPistons
MarcusSasser,9,3,2,6,1,7,2,2,4,35,23.1,100.0,0,3,0,0,0,4,-6,6,DetroitPistons
MarvinBagley,6,5,3,4,0,0,0,0,1,13,75.0,0.0,2,3,1,0,0,2,2,10,DetroitPistons
JamesWiseman,6,4,3,3,0,0,0,0,0,7,100.0,0.0,3,1,0,0,0,1,0,10,DetroitPistons
JaredRhoden,5,0,1,1,1,2,0,0,0,7,66.7,0.0,0,0,1,0,0,1,2,3,DetroitPistons
JalenDuren,4,4,2,5,0,0,0,0,3,23,40.0,0.0,1,3,3,0,1,1,-8,6,DetroitPistons
DetroitPistons,106,49,32,58,8,28,18,22,28,240,46.5,0.0,12,37,16,3,5,26,-40,124,DetroitPistons
JoelEmbiid,33,16,7,17,1,4,16,19,3,36,38.1,84.2,7,9,5,0,2,3,1,33,Philadelphia76ers
TyreseMaxey,29,6,7,12,2,7,9,9,11,39,47.4,100.0,0,6,0,3,1,3,17,40,Philadelphia76ers
TobiasHarris,24,5,6,12,2,3,6,6,2,38,53.3,100.0,1,4,3,0,1,1,10,22,Philadelphia76ers
De&#039;AnthonyMelton,10,3,1,3,2,6,2,4,2,30,33.3,50.0,0,3,0,3,1,3,15,11,Philadelphia76ers
KellyOubre,8,8,3,6,0,3,2,3,1,26,33.3,66.7,2,6,0,2,0,3,7,12,Philadelphia76ers
NicolasBatum,3,3,0,0,1,2,0,0,3,26,50.0,0.0,1,2,0,1,0,4,13,9,Philadelphia76ers
RobertCovington,3,0,0,0,1,3,0,0,0,14,33.3,0.0,0,0,0,4,0,0,3,5,Philadelphia76ers
PaulReed,2,4,1,2,0,0,0,0,0,12,50.0,0.0,0,4,0,0,0,3,7,5,Philadelphia76ers
JadenSpringer,2,0,1,1,0,0,0,0,0,5,100.0,0.0,0,0,0,0,0,1,-6,2,Philadelphia76ers
MarcusMorris,0,1,0,0,0,0,0,0,0,6,0.0,0.0,0,1,0,0,0,2,-10,1,Philadelphia76ers
PatrickBeverley,0,0,0,1,0,0,0,0,1,5,0.0,0.0,0,0,0,0,0,0,-8,0,Philadelphia76ers
FurkanKorkmaz,0,0,0,1,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-9,-1,Philadelphia76ers
Philadelphia76ers,114,50,26,55,9,28,35,41,23,240,42.2,0.0,13,37,9,13,5,23,40,139,Philadelphia76ers
