PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KristapsPorzingis,31,3,11,15,2,4,3,4,1,31,11-15,2-4,68.4,3-4,75.0,0,3,2,0,2,2,2,28,BostonCeltics
DerrickWhite,21,6,3,4,5,10,0,0,7,35,3-4,5-10,57.1,0-0,0,1,5,2,1,1,2,0,28,BostonCeltics
JaysonTatum,20,9,6,8,2,13,2,2,7,36,6-8,2-13,38.1,2-2,100.0,0,9,3,1,0,3,3,21,BostonCeltics
JaylenBrown,15,6,7,9,0,2,1,1,6,34,7-9,0-2,63.6,1-1,100.0,0,6,2,1,0,4,-3,22,BostonCeltics
AlHorford,14,8,1,3,4,9,0,0,8,36,1-3,4-9,41.7,0-0,0,2,6,1,2,4,1,12,28,BostonCeltics
SamHauser,10,5,1,2,2,6,2,2,0,25,1-2,2-6,37.5,2-2,100.0,2,3,2,0,0,1,14,8,BostonCeltics
PaytonPritchard,8,2,1,1,2,4,0,0,2,16,1-1,2-4,60.0,0-0,0,0,2,2,1,0,1,11,9,BostonCeltics
LukeKornet,4,6,2,2,0,0,0,0,0,21,2-2,0-0,100.0,0-0,0,1,5,0,0,2,2,2,12,BostonCeltics
OshaeBrissett,2,0,0,0,0,1,2,2,2,6,0-0,0-1,0.0,2-2,100.0,0,0,0,0,0,0,-1,3,BostonCeltics
BostonCeltics,125,48,32,44,17,49,10,11,33,240,32-44,17-49,52.7,10-11,0,7,41,14,6,9,16,40,159,BostonCeltics
SaddiqBey,25,9,5,9,4,7,3,4,1,36,5-9,4-7,56.3,3-4,75.0,2,7,0,1,0,1,-1,28,AtlantaHawks
TraeYoung,20,2,6,15,2,10,2,2,10,38,6-15,2-10,32.0,2-2,100.0,0,2,4,1,0,0,-10,12,AtlantaHawks
JalenT.Johnson,19,15,6,11,2,5,1,1,4,36,6-11,2-5,50.0,1-1,100.0,2,13,2,3,0,0,1,31,AtlantaHawks
OnyekaOkongwu,19,10,6,8,1,3,4,4,3,36,6-8,1-3,63.6,4-4,100.0,6,4,1,0,2,3,4,29,AtlantaHawks
BogdanBogdanovic,12,6,3,8,2,10,0,0,3,35,3-8,2-10,27.8,0-0,0,2,4,0,1,0,3,-4,9,AtlantaHawks
De&#039;AndreHunter,10,1,2,5,1,4,3,3,1,23,2-5,1-4,33.3,3-3,100.0,0,1,1,0,0,3,-13,5,AtlantaHawks
BrunoFernando,9,4,2,4,0,0,5,6,1,12,2-4,0-0,50.0,5-6,83.3,1,3,1,0,0,1,-12,10,AtlantaHawks
GarrisonMathews,3,0,0,0,1,1,0,0,0,14,0-0,1-1,100.0,0-0,0,0,0,0,1,0,2,-7,4,AtlantaHawks
PattyMills,0,2,0,1,0,1,0,0,1,10,0-1,0-1,0.0,0-0,0,0,2,0,1,0,0,2,2,AtlantaHawks
AtlantaHawks,117,53,30,61,13,41,18,20,24,240,30-61,13-41,42.2,18-20,0,17,36,10,8,2,13,-40,130,AtlantaHawks
