PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MilesBridges,30,15,5,41,5-7,6-13,55.0%,2-2,100.0%,2,13,0,1,3,1,3,45,CharlotteHornets
P.J.Washington,26,8,1,36,7-8,3-9,58.8%,3-4,75.0%,3,5,3,0,1,3,2,25,CharlotteHornets
BrandonMiller,21,1,3,38,5-11,3-10,38.1%,2-2,100.0%,0,1,2,1,0,2,-17,11,CharlotteHornets
NickRichards,10,6,1,25,3-4,0-0,75.0%,4-4,100.0%,3,3,0,0,1,5,-12,17,CharlotteHornets
CodyMartin,7,1,6,28,2-8,1-2,30.0%,0-1,0.0%,0,1,3,0,0,3,0,3,CharlotteHornets
BryceMcGowens,5,2,2,13,1-2,0-2,25.0%,3-4,75.0%,0,2,0,0,0,0,-9,5,CharlotteHornets
NickSmith,5,2,1,12,1-2,1-3,40.0%,0-0,-,1,1,1,0,0,0,4,4,CharlotteHornets
LeakyBlack,3,1,1,13,0-0,1-2,50.0%,0-0,-,0,1,0,1,0,1,-8,5,CharlotteHornets
IshmaelSmith,3,0,2,16,0-2,1-1,33.3%,0-0,-,0,0,0,0,0,2,-1,3,CharlotteHornets
NathanMensah,0,1,0,9,0-0,0-0,-,0-0,-,0,1,0,1,1,1,-6,3,CharlotteHornets
FrankNtilikina,0,3,3,10,0-0,0-4,0.0%,0-0,-,0,3,0,0,0,0,9,2,CharlotteHornets
CharlotteHornets,110,42,25,240,24-44,16-46,44.4%,14-17,82.4%  ,11,31,10,4,6,18,-35,123,CharlotteHornets
CobyWhite,35,7,9,43,8-12,4-10,54.5%,7-9,77.8%,1,6,3,0,0,0,12,36,ChicagoBulls
NikolaVucevic,22,12,3,33,9-18,1-4,45.5%,1-2,50.0%,3,9,0,0,2,0,3,26,ChicagoBulls
AyoDosunmu,16,1,6,39,5-5,2-5,70.0%,0-0,-,0,1,1,3,1,3,18,23,ChicagoBulls
DeMarDerozan,15,4,3,38,3-8,1-2,40.0%,6-8,75.0%,0,4,2,0,1,2,3,13,ChicagoBulls
AlexCaruso,10,5,3,34,2-3,2-4,57.1%,0-0,-,2,3,0,0,3,2,11,18,ChicagoBulls
AndreDrummond,10,8,1,15,5-8,0-0,62.5%,0-1,0.0%,3,5,0,0,0,2,4,15,ChicagoBulls
JulianPhillips,4,1,0,11,1-1,0-1,50.0%,2-2,100.0%,1,0,1,0,0,4,-4,3,ChicagoBulls
TerryTaylor,3,6,2,20,0-2,1-2,25.0%,0-0,-,1,5,0,1,0,0,0,9,ChicagoBulls
JevonCarter,2,0,1,7,1-1,0-1,50.0%,0-0,-,0,0,2,0,0,0,-12,0,ChicagoBulls
ChicagoBulls,117,44,28,240,34-58,11-29,51.7%,16-22,72.7%  ,11,33,9,4,7,14,35,143,ChicagoBulls
