PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JalenGreen,31,4,6,8,5,12,4,4,4,38,6-8,5-12,55.0,4-4,100.0,0,4,3,3,2,3,-7,32,HoustonRockets
CamWhitmore,17,0,3,5,3,7,2,3,0,20,3-5,3-7,50.0,2-3,66.7,0,0,0,1,0,1,-13,11,HoustonRockets
FredVanVleet,16,3,4,6,2,6,2,2,5,37,4-6,2-6,50.0,2-2,100.0,0,3,0,2,0,1,-5,20,HoustonRockets
DillonBrooks,13,3,1,4,3,7,2,2,1,31,1-4,3-7,36.4,2-2,100.0,0,3,0,0,0,4,-6,10,HoustonRockets
AlperenSengun,10,10,4,10,0,1,2,2,5,34,4-10,0-1,36.4,2-2,100.0,2,8,2,2,0,3,-5,18,HoustonRockets
AmenThompson,10,6,3,5,0,1,4,4,0,17,3-5,0-1,50.0,4-4,100.0,2,4,0,1,0,3,-5,14,HoustonRockets
Jae&#039;SeanTate,2,1,1,2,0,0,0,0,2,7,1-2,0-0,50.0,0-0,0,0,1,0,1,0,0,-10,5,HoustonRockets
NateHinton,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,2,0,HoustonRockets
JermaineSamuels,0,0,0,0,0,0,0,0,0,1,0-0,0-0,0,0-0,0,0,0,0,0,0,0,2,0,HoustonRockets
AaronHoliday,0,1,0,0,0,4,0,0,1,17,0-0,0-4,0.0,0-0,0,1,0,0,0,0,1,9,-2,HoustonRockets
JeffGreen,0,0,0,1,0,2,0,0,1,15,0-1,0-2,0.0,0-0,0,0,0,0,0,0,3,2,-2,HoustonRockets
JabariSmithJr.,0,1,0,2,0,4,0,0,0,22,0-2,0-4,0.0,0-0,0,0,1,0,1,0,2,-19,-4,HoustonRockets
HoustonRockets,99,35,22,43,13,44,16,17,19,240,22-43,13-44,40.2,16-17,0,9,26,5,11,2,21,-55,102,HoustonRockets
JonasValanciunas,25,14,10,14,0,1,5,9,2,33,10-14,0-1,66.7,5-9,55.6,4,10,3,0,1,5,13,30,NewOrleansPelicans
BrandonIngram,24,10,9,16,0,3,6,7,4,36,9-16,0-3,47.4,6-7,85.7,4,6,6,0,2,4,4,23,NewOrleansPelicans
C.J.McCollum,19,5,4,8,3,7,2,2,3,36,4-8,3-7,46.7,2-2,100.0,0,5,3,1,2,1,3,19,NewOrleansPelicans
TreyMurphyIII,13,6,2,2,3,10,0,0,1,27,2-2,3-10,41.7,0-0,0,1,5,1,0,0,1,4,12,NewOrleansPelicans
NajiMarshall,10,7,2,3,1,1,3,4,2,31,2-3,1-1,75.0,3-4,75.0,0,7,0,0,1,2,8,18,NewOrleansPelicans
DysonDaniels,9,2,3,3,1,3,0,0,3,24,3-3,1-3,66.7,0-0,0,0,2,2,1,0,2,1,11,NewOrleansPelicans
JoseAlvarado,7,1,0,0,2,3,1,2,0,14,0-0,2-3,66.7,1-2,50.0,0,1,0,0,0,3,7,6,NewOrleansPelicans
JordanHawkins,3,6,0,1,1,4,0,0,2,23,0-1,1-4,20.0,0-0,0,2,4,1,0,0,1,17,6,NewOrleansPelicans
LarryNance,0,5,0,1,0,2,0,0,3,16,0-1,0-2,0.0,0-0,0,1,4,0,1,0,3,-2,6,NewOrleansPelicans
NewOrleansPelicans,110,59,30,48,11,34,17,24,20,240,30-48,11-34,50.0,17-24,0,13,46,16,3,6,22,55,131,NewOrleansPelicans
