PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
GraysonAllen,29,5,1,3,9,14,0,0,6,37,1-3,9-14,58.8,0-0,0,0,5,2,2,2,1,21,35,PhoenixSuns
KevinDurant,27,5,3,8,4,8,9,9,4,39,3-8,4-8,43.8,9-9,100.0,1,4,7,0,2,3,-4,22,PhoenixSuns
DevinBooker,16,4,4,11,1,3,5,6,11,38,4-11,1-3,35.7,5-6,83.3,0,4,2,0,0,4,16,19,PhoenixSuns
BradleyBeal,13,3,6,10,0,4,1,2,5,38,6-10,0-4,42.9,1-2,50.0,1,2,1,2,0,2,-12,13,PhoenixSuns
EricGordon,13,3,2,3,3,7,0,0,2,24,2-3,3-7,50.0,0-0,0,0,3,2,2,0,0,10,13,PhoenixSuns
JusufNurkic,10,15,4,5,0,0,2,2,3,27,4-5,0-0,80.0,2-2,100.0,3,12,1,0,1,3,-8,27,PhoenixSuns
ChimezieMetu,6,5,3,4,0,1,0,0,1,10,3-4,0-1,60.0,0-0,0,0,5,1,0,0,1,2,9,PhoenixSuns
DrewEubanks,3,4,1,1,0,0,1,1,0,10,1-1,0-0,100.0,1-1,100.0,3,1,0,1,0,0,-6,8,PhoenixSuns
JoshOkogie,2,2,1,3,0,0,0,0,0,16,1-3,0-0,33.3,0-0,0,0,2,0,0,1,1,-9,3,PhoenixSuns
PhoenixSuns,119,46,25,48,17,37,18,20,32,240,25-48,17-37,49.4,18-20,0,8,38,16,7,6,15,10,149,PhoenixSuns
De&#039;AaronFox,33,2,6,14,6,10,3,5,6,37,6-14,6-10,50.0,3-5,60.0,1,1,1,2,0,2,6,28,SacramentoKings
DomantasSabonis,21,12,8,10,1,1,2,4,11,39,8-10,1-1,81.8,2-4,50.0,2,10,2,0,1,2,-2,39,SacramentoKings
KeeganMurray,18,4,4,7,3,5,1,2,3,35,4-7,3-5,58.3,1-2,50.0,1,3,1,1,1,3,-9,20,SacramentoKings
SashaVezenkov,14,2,4,6,2,3,0,0,1,18,4-6,2-3,66.7,0-0,0,1,1,1,1,0,1,7,14,SacramentoKings
MalikMonk,13,3,3,9,2,7,1,1,8,29,3-9,2-7,31.3,1-1,100.0,0,3,5,0,1,2,-12,9,SacramentoKings
KevinHuerter,10,3,2,3,2,6,0,0,2,26,2-3,2-6,44.4,0-0,0,0,3,0,2,1,4,-1,13,SacramentoKings
HarrisonBarnes,8,3,1,3,2,6,0,0,3,34,1-3,2-6,33.3,0-0,0,0,3,2,0,0,2,-11,6,SacramentoKings
TreyLyles,0,2,0,0,0,2,0,0,0,14,0-0,0-2,0.0,0-0,0,0,2,0,1,0,1,9,1,SacramentoKings
AlexLen,0,0,0,0,0,0,0,0,0,8,0-0,0-0,0,0-0,0,0,0,2,0,0,3,3,-2,SacramentoKings
SacramentoKings,117,31,28,52,18,40,7,12,34,240,28-52,18-40,50.0,7-12,0,5,26,14,7,4,20,-10,128,SacramentoKings
