PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
KyrieIrving,24,9,7,11,3,7,1,1,5,29,7-11,3-7,55.6,1-1,100.0,0,9,1,2,2,0,27,33,DallasMavericks
JadenHardy,19,9,5,7,3,7,0,0,9,33,5-7,3-7,57.1,0-0,0,2,7,4,1,0,2,11,28,DallasMavericks
TimHardawayJr.,19,2,5,7,3,7,0,1,4,27,5-7,3-7,57.1,0-1,0.0,0,2,2,1,1,3,21,18,DallasMavericks
JoshGreen,14,5,7,8,0,0,0,0,5,25,7-8,0-0,87.5,0-0,0,2,3,1,1,0,0,28,23,DallasMavericks
A.J.Lawson,14,5,3,4,1,4,5,6,2,25,3-4,1-4,50.0,5-6,83.3,1,4,2,2,0,5,21,16,DallasMavericks
DerrickJones,12,3,3,3,2,3,0,0,0,20,3-3,2-3,83.3,0-0,0,0,3,3,3,0,4,18,14,DallasMavericks
SethCurry,9,2,3,5,1,4,0,0,1,20,3-5,1-4,44.4,0-0,0,1,1,0,0,0,2,12,7,DallasMavericks
Olivier-MaxenceProsper,8,6,1,4,2,3,0,0,3,14,1-4,2-3,42.9,0-0,0,1,5,0,0,0,3,2,13,DallasMavericks
GregBrownIII,7,2,2,3,1,2,0,0,1,12,2-3,1-2,60.0,0-0,0,1,1,1,0,3,2,5,10,DallasMavericks
BrandonWilliams,7,0,1,2,1,1,2,3,2,10,1-2,1-1,66.7,2-3,66.7,0,0,1,0,1,0,3,7,DallasMavericks
DwightPowell,6,9,2,4,0,0,2,4,3,26,2-4,0-0,50.0,2-4,50.0,2,7,2,1,1,0,32,14,DallasMavericks
DallasMavericks,139,52,39,58,17,38,10,15,35,240,39-58,17-38,58.3,10-15,0,10,42,17,11,8,21,180,183,DallasMavericks
JeramiGrant,18,1,4,8,2,3,4,5,3,23,4-8,2-3,54.5,4-5,80.0,0,1,1,3,1,1,-24,19,PortlandTrailBlazers
ScootHenderson,17,3,4,8,3,7,0,0,10,33,4-8,3-7,46.7,0-0,0,1,2,1,1,0,0,-26,22,PortlandTrailBlazers
DuopReath,16,7,6,9,1,3,1,2,2,27,6-9,1-3,58.3,1-2,50.0,4,3,3,0,0,3,-16,16,PortlandTrailBlazers
ShaedonSharpe,15,5,4,9,1,6,4,4,2,24,4-9,1-6,33.3,4-4,100.0,1,4,2,0,1,2,-11,11,PortlandTrailBlazers
KrisMurray,10,4,2,5,2,3,0,0,1,20,2-5,2-3,50.0,0-0,0,2,2,1,2,0,0,-17,12,PortlandTrailBlazers
ToumaniCamara,10,7,2,3,2,7,0,1,1,24,2-3,2-7,40.0,0-1,0.0,1,6,2,1,0,2,-11,10,PortlandTrailBlazers
RayanRupert,7,3,2,3,1,2,0,0,0,19,2-3,1-2,60.0,0-0,0,1,2,2,0,0,3,-12,6,PortlandTrailBlazers
AnferneeSimons,6,5,0,4,1,4,3,3,4,23,0-4,1-4,12.5,3-3,100.0,0,5,2,0,0,1,-14,6,PortlandTrailBlazers
MalcolmBrogdon,4,3,2,4,0,4,0,2,3,16,2-4,0-4,25.0,0-2,0.0,0,3,3,1,0,0,-16,0,PortlandTrailBlazers
MatisseThybulle,0,2,0,1,0,1,0,0,0,14,0-1,0-1,0.0,0-0,0,0,2,0,1,1,0,-14,2,PortlandTrailBlazers
IbouBadji,0,2,0,1,0,0,0,0,1,18,0-1,0-0,0.0,0-0,0,0,2,1,0,0,3,-19,1,PortlandTrailBlazers
PortlandTrailBlazers,103,42,26,55,13,40,12,17,27,240,26-55,13-40,41.1,12-17,0,10,32,18,9,3,15,-180,105,PortlandTrailBlazers
