PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
PaulGeorge,29,7,7,13,5,9,0,0,6,38,54.5,0.0,0,7,0,2,1,4,15,35,LAClippers
KawhiLeonard,29,3,8,14,2,4,7,7,7,38,55.6,100.0,2,1,0,1,2,3,-5,34,LAClippers
JamesHarden,14,5,3,6,2,7,2,2,11,34,38.5,100.0,0,5,3,1,0,4,8,20,LAClippers
TeranceMann,13,2,2,2,3,3,0,0,1,24,100.0,0.0,2,0,1,0,0,1,6,15,LAClippers
NormanPowell,13,3,1,3,3,8,2,2,1,27,36.4,100.0,0,3,0,0,0,1,2,10,LAClippers
IvicaZubac,12,11,6,8,0,0,0,0,3,31,75.0,0.0,5,6,2,0,1,2,1,23,LAClippers
AmirCoffey,6,1,3,3,0,2,0,0,1,18,60.0,0.0,0,1,0,1,0,1,3,7,LAClippers
RussellWestbrook,6,0,3,8,0,1,0,0,3,14,33.3,0.0,0,0,0,0,0,0,-2,3,LAClippers
DanielTheis,4,4,1,2,0,0,2,2,1,16,50.0,100.0,2,2,1,1,1,1,2,9,LAClippers
LAClippers,126,38,34,59,15,34,13,13,34,240,52.7,0.0,12,26,8,6,5,17,30,156,LAClippers
ImmanuelQuickley,25,4,5,12,2,4,9,9,6,36,43.8,100.0,0,4,1,1,0,1,-5,26,TorontoRaptors
R.J.Barrett,24,5,6,10,4,6,0,0,4,37,62.5,0.0,1,4,4,0,0,4,0,23,TorontoRaptors
DennisSchroder,22,1,7,8,1,5,5,5,4,34,61.5,100.0,0,1,2,0,0,1,-1,20,TorontoRaptors
ScottieBarnes,12,7,4,5,1,5,1,3,6,34,50.0,33.3,0,7,2,0,2,1,-9,18,TorontoRaptors
GaryTrentJr.,12,3,3,5,2,4,0,0,2,24,55.6,0.0,1,2,0,0,0,1,-9,13,TorontoRaptors
JontayPorter,9,7,3,5,1,3,0,0,4,18,50.0,0.0,3,4,3,0,0,4,2,13,TorontoRaptors
ThaddeusYoung,8,4,4,4,0,1,0,0,3,23,80.0,0.0,2,2,2,2,0,1,-2,14,TorontoRaptors
GarrettTemple,3,2,0,1,1,1,0,0,1,8,50.0,0.0,0,2,0,0,0,2,4,5,TorontoRaptors
ChrisBoucher,3,1,1,2,0,1,1,1,0,11,33.3,100.0,0,1,0,0,0,0,-10,2,TorontoRaptors
JalenMcDaniels,2,3,1,2,0,0,0,0,1,13,50.0,0.0,0,3,0,1,0,2,0,6,TorontoRaptors
TorontoRaptors,120,40,34,54,12,30,16,18,31,240,54.8,0.0,7,33,15,4,2,17,-30,140,TorontoRaptors
