PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JadenIvey,32,4,6,36,9-16,4-6,59.1%,2-2,100.0%,0,4,2,1,0,4,8,32,DetroitPistons
BojanBogdanovic,20,5,3,32,4-6,3-7,53.8%,3-4,75.0%,0,5,1,0,1,2,-4,21,DetroitPistons
JalenDuren,16,11,3,31,8-14,0-0,57.1%,0-1,0.0%,2,9,2,0,0,4,-8,21,DetroitPistons
IsaiahStewart,12,4,2,25,2-4,2-5,44.4%,2-2,100.0%,1,3,2,1,3,0,2,15,DetroitPistons
AlecBurks,12,1,1,20,2-6,1-4,30.0%,5-5,100.0%,1,0,0,2,0,1,-10,9,DetroitPistons
KillianHayes,8,1,8,26,4-4,0-0,100.0%,0-0,-,0,1,0,0,0,3,-3,17,DetroitPistons
AusarThompson,7,9,1,22,3-4,0-2,50.0%,1-5,20.0%,3,6,0,0,1,0,-6,11,DetroitPistons
KevinKnox,5,1,2,21,1-1,1-2,66.7%,0-0,-,0,1,1,0,0,2,-13,6,DetroitPistons
MarcusSasser,5,1,2,12,1-2,1-2,50.0%,0-0,-,0,1,4,0,0,2,-7,2,DetroitPistons
MikeMuscala,0,3,2,15,0-1,0-3,0.0%,0-0,-,1,2,0,0,2,0,6,3,DetroitPistons
DetroitPistons,117,40,30,240,34-58,12-31,51.7%,13-19,68.4%  ,8,32,12,4,7,18,-35,137,DetroitPistons
Karl-AnthonyTowns,27,6,4,31,5-12,5-5,58.8%,2-2,100.0%,2,4,1,0,0,2,7,29,MinnesotaTimberwolves
AnthonyEdwards,27,5,8,33,7-16,3-8,41.7%,4-4,100.0%,0,5,3,0,0,3,5,23,MinnesotaTimberwolves
JadenMcDaniels,23,3,0,30,5-7,3-4,72.7%,4-4,100.0%,2,1,1,1,0,0,4,23,MinnesotaTimberwolves
RudyGobert,19,16,2,38,8-11,0-0,72.7%,3-4,75.0%,5,11,1,0,1,4,12,33,MinnesotaTimberwolves
NazReid,9,4,1,23,2-5,1-4,33.3%,2-4,50.0%,0,4,1,3,0,0,3,8,MinnesotaTimberwolves
MikeConley,8,3,7,29,1-2,2-6,37.5%,0-1,0.0%,0,3,1,1,1,0,20,13,MinnesotaTimberwolves
NickeilAlexander-Walker,7,0,1,23,2-3,1-3,50.0%,0-0,-,0,0,0,1,1,2,-6,7,MinnesotaTimberwolves
KyleAnderson,4,3,9,22,2-6,0-0,33.3%,0-0,-,0,3,1,1,2,2,3,14,MinnesotaTimberwolves
ShakeMilton,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-5,0,MinnesotaTimberwolves
TroyBrown,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-5,0,MinnesotaTimberwolves
JordanMcLaughlin,0,2,0,8,0-1,0-0,0.0%,0-2,0.0%,0,2,0,0,0,1,-3,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,124,42,32,240,32-63,15-30,50.5%,15-21,71.4%  ,9,33,9,7,5,14,35,149,MinnesotaTimberwolves
