PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
MikalBridges,28,1,4,39,6-10,5-11,52.4%,1-1,100.0%,0,1,1,2,0,0,-18,24,BrooklynNets
RoyceO&#039;Neale,18,6,2,32,2-5,4-11,37.5%,2-2,100.0%,1,5,2,0,0,1,-9,14,BrooklynNets
CamThomas,16,8,8,37,5-13,1-3,37.5%,3-4,75.0%,0,8,2,1,0,2,-19,20,BrooklynNets
JalenWilson,10,4,2,18,1-4,2-3,42.9%,2-2,100.0%,1,3,0,1,0,1,5,13,BrooklynNets
BenSimmons,9,9,7,20,4-7,0-0,57.1%,1-2,50.0%,4,5,2,1,0,2,1,20,BrooklynNets
NicClaxton,9,11,2,35,3-9,0-0,33.3%,3-3,100.0%,2,9,2,0,5,3,-15,19,BrooklynNets
SpencerDinwiddie,9,1,5,35,4-4,0-4,50.0%,1-1,100.0%,0,1,0,1,0,0,4,12,BrooklynNets
DennisSmith,6,2,3,18,3-4,0-1,60.0%,0-0,-,0,2,1,0,0,3,-7,8,BrooklynNets
NoahClowney,2,1,0,4,1-1,0-0,100.0%,0-0,-,0,1,0,0,0,1,5,3,BrooklynNets
TrendonWatford,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,-7,-1,BrooklynNets
BrooklynNets,107,43,33,240,29-58,12-33,45.1%,13-15,86.7%  ,8,35,10,6,5,13,-60,132,BrooklynNets
KyrieIrving,36,2,5,40,9-14,6-10,62.5%,0-0,-,0,2,3,2,0,1,15,33,DallasMavericks
LukaDoncic,35,18,9,43,9-16,4-11,48.1%,5-10,50.0%,1,17,1,2,1,3,6,45,DallasMavericks
TimHardawayJr.,14,7,3,25,1-3,3-7,40.0%,3-3,100.0%,1,6,0,0,0,1,-1,18,DallasMavericks
JoshGreen,12,2,3,33,3-6,2-5,45.5%,0-0,-,1,1,1,0,0,1,-5,10,DallasMavericks
MaximilianKleber,7,2,3,30,2-2,1-5,42.9%,0-0,-,0,2,1,1,0,3,10,8,DallasMavericks
JadenHardy,6,2,1,8,0-0,2-2,100.0%,0-0,-,1,1,1,0,0,0,13,8,DallasMavericks
GrantWilliams,5,3,0,21,1-2,1-3,40.0%,0-0,-,1,2,3,1,1,1,12,4,DallasMavericks
DerrickJones,2,7,1,22,1-3,0-0,33.3%,0-0,-,1,6,0,1,0,0,8,9,DallasMavericks
DwightPowell,2,2,0,18,1-2,0-0,50.0%,0-0,-,0,2,0,0,1,2,2,4,DallasMavericks
DallasMavericks,119,45,25,240,27-48,19-43,50.5%,8-13,61.5%  ,6,39,10,7,3,12,60,139,DallasMavericks
